species|ecology|status|trends|world distribution
Actaea spicata|A perennial herb of shaded sites on limestone. Its habitats differ superficially, being found in the grikes of limestone pavement, on rock ledges, and in deciduous woodland, but all have the same characteristics of shade, low competition and a cool, protected root run. 0-450 m (Hawkswick Clowder, Mid-W. Yorks.).|Native|Populations of this species are long-lived and stable. Despite occasional threats such as quarrying or neglect of scrub or woodland causing increased competition, the species maintains its historic range. It is occasionally grown in gardens, and naturalised or relict garden populations can persist for many years.|Circumpolar Boreal-montane element.     © P. Shannon
Adiantum capillus-veneris|A semi-evergreen fern found in areas with an oceanic climate on wet, calcareous cliffs where its rhizomes are protected in crevices; in the Aran Islands and the Burren (both Co. Clare) it grows in grikes in limestone pavement. Many inland records in sheltered warm sites, such as damp mortared walls, railway sidings and canal locks, arise from spores derived from cultivated plants. Lowland.|Native|In the 19th century, native populations were jeopardised by collectors; many pre-1970 sites were lost before 1930. There have been few recent losses, however, and many more alien records.|Mediterranean-Atlantic element; also in C. and E. Asia and N. America.     © K.J. Walker, BSBI
Adonis annua|An arable weed of dry soils on chalk and limestone, also recorded from tracks, chalk pits and other disturbed habitats. Seed production is low but there is a long-lived soil seed bank. Most populations are small and restricted to field edges. Lowland.|Archaeophyte|This species is known from Iron Age deposits (Jones, 1984). It underwent a catastrophic decline from c. 1880 to 1950, and has been lost from a further 30% of 10-km squares since the 1962 Atlas. This decline is due to improved seed cleaning methods, increased use of agrochemicals and the density of modern crops. Some recent records are deliberate introductions.|Native of the Mediterranean region; long naturalised northwards to Britain.
Adoxa moschatellina|A perennial rhizomatous herb of mesic brown earth soils on the shaded banks of rivers and streams, in deciduous woodlands and shaded hedge banks; also occasionally in shaded base-rich sites in mountains. This is a vernal species which disappears by May or June in the lowlands. It is self-fertile, reproducing by seed and vegetatively. 0-1065 m (Ben Lawers, Mid Perth).|Native|Populations of A. moschatellina within old woodlands have remained stable. In some areas A. moschatellina is possibly under-recorded due to its early season. Its native status in Ireland has been questioned (Hackney, 1992).|Circumpolar Boreo-temperate element, with a disjunct distribution.     © K.J. Walker, BSBI
Aegopodium podagraria|A rhizomatous perennial herb found in a wide variety of disturbed habitats, especially hedgerows, road verges, churchyards, neglected gardens and waste ground. It typically occurs near habitation or in the vicinity of abandoned settlements, such as in woodlands. It reproduces by seed and by its aggressive rhizome system. 0-450 m (Nenthead, Cumberland).|Archaeophyte|Archaeological evidence suggests that A. podagraria was introduced in Roman times, probably for medicinal and culinary use. There is little change in its range since the 1962 Atlas.|A Eurosiberian Temperate species, certainly native in C. Europe but native limits obscured by its spread in cultivation and as a weed.     © P. Shannon
Aesculus hippocastanum|A tree of parkland, large gardens and estates, churchyards, urban streets and village greens; also a constituent of deciduous and mixed woodland. It is sometimes self-sown in scrubby areas, waste ground or rough grassland, and occasionally regenerates in woodland, but is rarely fully naturalised. Generally lowland, but reaching 505 m at Ashgill (Cumberland).|Neophyte|This species was introduced into cultivation in 1612 or 1615, and was recorded from the wild by 1870. It is now better recorded in S.W. England, Wales and Ireland than in the 1962 Atlas, but its overall range has changed little.|Native of the Balkan peninsula; other species in the family are found in S. & E. Asia and the Americas.     © S. Hammonds
Aethusa cynapium|An annual of hedge banks, waste places, arable fields and other cultivated ground. Lowland.|Native|A. cynapium was first recorded in Britain by 1597. It was mapped as `all records` in the 1962 Atlas. The current map indicates losses in N. & W. Britain, and in Ireland, where it is thought to be alien (Scannell & Synnott, 1987). The reasons for these losses are unclear, but analysis of the database reveals that most have taken place since 1950. Two subspecies occur in our area: subsp. cynapium occurs throughout the range of the species; subsp. agrestis is probably an archaeophyte and is most frequent on arable land in S. Britain.|European Temperate element.     © S. Hammonds
Agrimonia eupatoria|A perennial herb of basic and neutral soils, occurring in hedge banks, on woodland margins and rides, in field-borders and open grassland, on roadsides and railway banks, and sometimes in waste places. It reproduces and spreads by seed. 0-365 m (N.W. Yorks.).|Native|The map suggests a slight decline in the distribution of A. eupatoria since the 1962 Atlas.|Eurosiberian Southern-temperate element; widely naturalised outside its native range.     © S. Hammonds
Agrimonia procera|An erect perennial herb found in similar habitats to A. eupatoria, including hedgerows, woodland margins and roadside verges, generally on soils which are neither strongly calcareous nor strongly acidic. 0-335 m (Fortingall, Mid Perth).|Native|A. procera has been much confused in the past with A. eupatoria var. sepium, which can also be glandular and aromatic. The overall range is little changed since the 1962 Atlas. The apparent increases in East Anglia, W. Scotland and elsewhere are probably attributable to recorders` increased familiarity with this species.|European Temperate element.     © G. Toone, IWNHAS
Agrostemma githago|An annual weed of cereal and other arable crops, tolerant of various soil types, with its distribution largely mirroring that of the crops in which it grew. Lowland.|Archaeophyte|A. githago, introduced as a grain contaminant, has been present in Britain since the Iron Age. Although common until the 20th century, it has dramatically declined with improved seed cleaning. It is now extinct as an arable weed, but is a frequent component of wild-flower seed mixtures.|Native range uncertain, perhaps the E. Mediterranean region; spread with cultivation throughout temperate and S. Europe and to many other areas.     © L. Rooney
Agrostis canina|A stoloniferous, perennial grass of infertile, acidic, peaty soils in mires, wet heath, fens and fen-meadows, springs and soakways, swamps and water margins. It may exploit vegetation gaps or act as a dominant. It spreads by stolon fragments. 0-1035 m (Macgillycuddy`s Reeks, S. Kerry).|Native|The map of A. canina in the 1962 Atlas included both this species and A. vinealis. Although these have long been recognised at varietal or subspecific rank, they have only recently been treated as species in British floras (Clapham et al., 1987). A. canina sens. str. is under-recorded in areas for which only records of the aggregate are available.|Circumpolar Boreo-temperate element, with a disjunct distribution.
Agrostis canina sens.lat.||||
Agrostis capillaris|A rhizomatous, occasionally stoloniferous, perennial herb occurring mainly on dry or damp, neutral to moderately acidic soils; its habitats include lowland pastures, hay meadows, upland hill-pasture, heaths, open woodland and scrub, sand dunes and a range of ruderal habitats including areas contaminated by heavy metals. It is extensively used as a lawn grass, on its own or with other species. 0-1210 m (Ben Lawers, Mid Perth).|Native|There has been no change in the range of A. capillaris since the 1962 Atlas.|Eurosiberian Boreo-temperate element; widely naturalised outside its native range.     © S. Hammonds
Agrostis curtisii|A tufted perennial herb of the drier parts of impoverished, sandy and peaty heaths, especially those with impeded drainage, occasionally extending to more consistently waterlogged ground. In closed communities, it occurs as scattered plants, but it can seed prolifically into burnt or disturbed ground and rapidly form an almost continuous cover. It also occurs in open acidic woodland over gravel and sand. Generally lowland, but reaching 610 m on Dartmoor (S. Devon).|Native|A. curtisii has been lost from some 10-km squares on the edges of its range through habitat destruction. However, these losses are balanced to some extent by its ability to colonise open ground rapidly.|Oceanic Southern-temperate element.
Agrostis gigantea|A sprawling, perennial herb, behaving as a rampant weed in cornfields and neglected arable land, particularly on lighter soils, where it spreads by seed and by rhizomes. In wetter habitats, where it is much rarer, it can persist in taller, closed vegetation by rhizomatous growth. Lowland.|Archaeophyte|A. gigantea may have been overlooked in the past, or confused with A. stolonifera. Despite being vulnerable to herbicides, it has shown a marked increase since the 1962 Atlas. It is, however, almost certainly still under-recorded.|As an archaeophyte A. gigantea has a Eurasian Southern-temperate distribution, but it is naturalised in N. America so its distribution is now Circumpolar Southern-temperate.     © P. Shannon
Agrostis stolonifera|A stoloniferous perennial herb, found in many habitats on heavy and light, moist and dry soils. It occurs in permanent grassland (including inundation and brackish communities), in upper saltmarsh and dune-slacks, on sand dunes and sandy flats, on cliffs and in mires, springs, flushes and ditches. It also grows on spoil heaps and a wide range of open and disturbed habitats, and is a weed in arable sites. 0-945 m (Ben Lawers, Mid Perth).|Native|There has been no change in the range of A. stolonifera since the 1962 Atlas. It is very variable in form and distinct ecotypes have evolved in response to newly available habitats.|Circumpolar Wide-temperate element; widely naturalised outside its native range.     © P. Shannon
Agrostis vinealis|A shortly rhizomatous perennial herb, mainly of dry or free-draining, acidic, sandy or peaty soils on heaths, in acidic grass-heath, in open woodland (especially Betula, Pinus and Quercus), in woodland clearings and on rides. On some lowland heaths A. vinealis may grow in damp situations, but unlike A. canina it avoids waterlogged soils. It is a drought-resistant lawn grass. 0-845 m (Little Dun Fell, Westmorland), and probably higher in Scotland.|Native|Until recently this species was treated as a variety or subspecies of A. canina; it has not been recorded systematically and the existing map is incomplete.|European Temperate element; also in N. America.
Aira caryophyllea|An annual of well-drained sandy and rocky places, cliff-tops, heaths, summer-parched grasslands, anthills and stabilised sand dunes; also on stone walls and railway ballast. Rarely, it is recorded as a wool casual. 0-560 m (Mourne Moutains, Co. Down).|Native|A. caryophyllea was mapped as `all records` in the 1962 Atlas. It appears to have declined throughout its range, especially in S.E. England. Analysis of the database indicates that most of the losses have occurred since 1950.|European Southern-temperate element; widely naturalised outside its native range.     © G. Toone, IWNHAS
Aira praecox|An annual of sandy, gravelly and rocky places, commonly on thin acidic soils around rock outcrops, on walls, cliff-tops, heaths and sand dunes. It is rarely recorded as a wool casual. Generally lowland, but reaching 685 m on Mangerton Mountain (S. Kerry).|Native|A. praecox was mapped as `all records` in the 1962 Atlas. It seems to have declined in C. Ireland and England, but not to the extent of A. caryophyllea.|Suboceanic Southern-temperate element; widely naturalised outside its native range.
Ajuga chamaepitys|An annual or biennial herb of arable field margins and bare tracks on calcareous soils, and on open chalk downland. Its seeds are long-lived and this has led to its reappearance following disturbance at some sites. Lowland.|Native|Known as a British plant since 1551, A. chamaepitys has declined considerably over the past fifty years due to herbicide spraying, abandonment of fallow land and succession to coarse grassland, scrub and woodland on chalk slopes. It has benefited from conservation management at some sites.|European Southern-temperate element.     © K.J. Walker, BSBI
Ajuga pyramidalis|A perennial herb of free-draining slopes, rock crevices and shallow peat in open heathland and grassland overlying moderately acidic, or occasionally neutral or basic, soils. Reproduction is mainly from seed, which is long-lived and often germinates after disturbance. 0-650 m on Ill Bell (Westmorland).|Native|This species has been found in many new sites since the 1962 Atlas, particularly in N. and W. Ireland and remoter areas of Scotland where further populations probably await discovery. Conversely, some sites, such as on Coll (Mid Ebudes), have apparently been lost through more intensive grazing.|European Boreal-montane element.     © K.J. Walker, BSBI
Ajuga reptans|A rhizomatous perennial herb of damp deciduous woods and woodland rides, shaded places and unimproved grassland on neutral or acidic soils, sometimes occurring in flushed ground. 0-760 m on Y Foel-fras (Caerns.).|Native|There is no evidence of an appreciable change in the distribution of A. reptans since the 1962 Atlas.|European Temperate element.     © P. Shannon
Alchemilla acutiloba|This perennial apomict of neutral grassland is found in unimproved, species-rich hay meadows, or on the margins of meadows which have been re-seeded or are more intensively managed. It is also locally frequent on herb-rich road verges, and occasional on railway banks. From 140 m at Wolsingham to 450 m at Lanehead (both Co. Durham).|Native|There have been local losses of this species from hay fields due to agricultural intensification, and from roadside verges, and partial surveys since 1960 suggest it might have been lost from some of its 10-km squares. It has been naturalised in Lanarkshire since 1992.|European Boreo-temperate element, with a continental distribution in W. Europe.     © K.J. Walker, BSBI
Alchemilla alpina|A perennial herb of montane grassland and grass-heath, scree, cliffs, rocky streamsides, rock crevices and ledges. It is found in well-drained habitats, in areas of solifluction and late snow-lie, and sometimes on mountain slopes subject to severe wind-scour. The soils range from acidic to strongly calcareous. It is frequently washed down to lower levels on river gravels. From near sea level in N.W. Scotland to 1270 m on Ben Macdui (S. Aberdeen).|Native|The distribution of A. alpina is stable.|European Arctic-montane element; also in Greenland.
Alchemilla filicaulis||||
Alchemilla glabra|A perennial apomict of grassland habitats, occurring in lowland pasture, hay meadows, grass-heath on hillsides, roadsides and herb-rich banks kept moist by seeping water; also amongst tall vegetation on mountain ledges and in rocky river gorges. A. glabra seems to prefer damp soils, often occurring on stream banks, and in habitats subject to spray or temporary inundation. Lowland to 1215 m on Ben Lawers (Mid Perth).|Native|There has been no significant change in the distribution of A. glabra since it was mapped by Perring & Sell (1968), but there have been local losses on the southern boundaries of its range.|European Boreo-temperate element; widely naturalised outside its native range.     © P. Shannon
Alchemilla glaucescens|A perennial herb of limestone grassland and grassy banks by roads and rivers in N. England where it may be locally abundant; also in limestone grassland in Scotland and Ireland. Rarely elsewhere as an escape. Lowland, to 570 m on Whernside (N.W. Yorks.).|Native|There is no change in the distribution of A. glaucescens in England. It was discovered in Berwickshire in 1982. In Ireland the distribution is stable.|European Boreo-temperate element, with a continental distribution in W. Europe.     © K.J. Walker, BSBI
Alchemilla glomerulans|A perennial herb, typically found in ungrazed or lightly-grazed base-poor grassy habitats in the C. and N. Scottish mountains; a depauperate form grows in heavily-grazed flushes, and screes below cliffs. In Teesdale and Craven it occurs on roadsides and in species-rich hay meadows. From 145 m near Selkirk (Selkirks.) to 1030 m (Cairngorm Corries, Easterness).|Native|The current distribution of this critical species is unclear, especially in Scotland, because of the shortage of post-1970 records. However, it is unlikely to have disappeared from many of the sites for which there are only pre-1970 records, and there has probably been little change overall.|European Boreo-arctic Montane element; also in N. America.     © K.J. Walker, BSBI
Alchemilla micans|The largest population of this perennial apomict occurs in species-rich grazed pasture on shallow soil overlying Carboniferous limestone. Small populations have also been recorded from a rough pasture, from tall herbage in an ungrazed hay meadow and from a roadside verge. Lowland.|Native|This species was not recognised in Britain until 1976, and is currently known only from Northumberland. The single record from Durham was made in 1924, and casual plants were recorded in Lanarkshire in 1986 and 1992.|European Boreo-temperate element, with a continental distribution in W. Europe.
Alchemilla minima|A dwarf perennial herb confined to tightly-grazed, moist, Festuca ovina grassland overlying Carboniferous limestone. From below 300 m to 610 m at Ingleborough (Mid-W. Yorks.).|Native|This taxon was first recognised as a separate species in 1947. It is a dwarf plant that may have been derived from A. filicaulis by natural selection through centuries of intensive grazing. Its overall distribution is likely to be stable, though new sites continue to be found within its very restricted range.|Endemic.     © K.J. Walker, BSBI
Alchemilla mollis|A vigorous perennial herb, frequently grown in gardens and found naturalised on roadsides, riverbanks, rough ground and anywhere where garden refuse is dumped. It also occurs as a casual on rubbish tips. It reproduces mainly by seed, which is produced abundantly, but it can also spread by rhizome fragments. Generally lowland, but established at 520 m below Ben Lawers (Mid Perth).|Neophyte|A. mollis, cultivated in Britain since 1874, was first recorded in the wild in 1948. There has been a massive increase in 10-km square records since the five mapped by Perring & Sell (1968), perhaps reflecting both its increasing popularity in gardens and better recording.|Native of S.E. Europe and S.W. Asia.     © S. Hammonds
Alchemilla monticola|A perennial herb of neutral grassland, occurring in unimproved, species-rich hay meadows, but confined to the margins of those which are intensively managed. It is also locally frequent on road verges, particularly those which support a hay meadow flora. From 150 m (Barnard Castle, N.W. Yorks.) to 450 m (near Harwood Beck, Co. Durham).|Native|Since 1960, partial surveys have shown some losses of this species from hay fields due to the intensification of grass production, and from road verges, and it might now be lost from some 10-km squares for which there is no post-1970 record.|European Boreo-temperate element, with a continental distribution in W. Europe.     © K.J. Walker, BSBI
Alchemilla subcrenata|This perennial herb has been recorded in species-rich hay meadows, along the margins of those which are more intensively managed, and from unimproved pasture. The altitude range is c. 270-320 m in Weardale and Teesdale (Co. Durham).|Native|A. subcrenata was first found in 1951, and has only ever been known from a very restricted area of Teesdale, and one site to the north, in Weardale. Since 1990 it has been recorded in only two sites, and a search of three others in 1996 failed to detect it. A thorough survey is required to determine its current distribution.|European Boreo-temperate element, with a continental distribution in W. Europe.     © K.J. Walker, BSBI
Alchemilla vulgaris agg.||||
Alchemilla wichurae|A perennial herb of tightly-grazed base-rich grassland and herb-rich rock ledges on outcrops and cliffs; sometimes colonising damp scree and bare cracks in limestone and basalt. It seems to prefer moist soils, frequently occurring near waterfalls and seepages. From sea level in N. Scotland to 990 m on Ben Lawers (Mid Perth).|Native|The distribution of A. wichurae appears to be more or less stable in England, but in Scotland this is less certain due to the dearth of recent records. It may, however, still be present in many squares for which there are only pre-1970 records.|European Boreal-montane element; also in Greenland.     © K.J. Walker, BSBI
Alchemilla xanthochlora|This perennial herb of neutral or mildly calcareous grassland occurs in lowland pastures and hay meadows, on upland hill-slopes, in rough grassy places, on river banks and streamsides, woodland borders and rides, and roadside verges. 0-885 m (Caenlochan, Angus).|Native|The distribution of this species is generally stable, but there may have been losses in C. and S. Scotland. This may, however, simply indicate under-recording.|European Temperate element.
Alisma gramineum|An annual or short-lived perennial which grows in shallow, eutrophic water at the edge of lakes, rivers and fenland drains. Populations may arise from buried seed after disturbance. Lowland.|Native|This species maintains a precarious presence in Britain. It was first found at Westwood Great Pool (Worcs.) in 1920 and the River Glen (S. Lincs.) in 1955; at both sites populations vary annually but are usually small and the plant sometimes fails to appear. At the other two sites the species has been found only once, in 1970. Native material has been introduced to new sites.|Circumpolar Temperate element, with a continental distribution in W. Europe and a disjunct distribution elsewhere.
Alisma lanceolatum|An emergent perennial herb, found in shallow water or on exposed mud at the edge of a wide range of water bodies, although in many areas it is particularly frequent in canals. It is most frequent in eutrophic, calcareous water and rooted in a fine substrate. Lowland.|Native|A. lanceolatum was not consistently recognised by British botanists as a distinct species until 1952, so distributional trends are difficult to assess. It might still be overlooked as A. plantago-aquatica, but the map may also include erroneous records as narrow-leaved plants of that species are sometimes mis-identified as A. lanceolatum.|Eurosiberian Southern-temperate element.
Alisma plantago-aquatica|A perennial herb growing on exposed mud at the shallow edge of still or slow-flowing waters, or in marshes and swamps. It is confined to mesotrophic or eutrophic habitats. Plants fruit prolifically, and the species is a frequent colonist of newly cleaned ditches and recently flooded mineral workings. Generally lowland, but reaching 405 m at Dock Tarn (Cumberland).|Native|A well-recorded species with a distribution which is similar to that in the 1962 Atlas.|Circumpolar Wide-temperate element; widely naturalised outside its native range.     © G. Toone, IWNHAS
Alliaria petiolata|A biennial or monocarpic herb, found in a wide range of habitats including disturbed woodland, woodland edges and clearings, shaded hedge banks, river-banks, the base of walls, road verges, waste ground, farmyards and gardens. It grows especially well on relatively fertile, moist soils, but avoids only the most acidic sites. Generally lowland, but reaching 535 m S. of Garsdale Head (N.W. Yorks.).|Native|No change is apparent in the distribution of this species since the 1962 Atlas.|European Temperate element; also in C. Asia and widely naturalised outside its native range.     © S. Hammonds
Allium ampeloprasum|A robust, bulbous perennial herb of rank vegetation in sandy and rocky places near the sea, especially in old fields and hedge banks, on sheltered cliff-slopes, by paths and tracks and in drainage ditches and other disturbed places. Var. ampeloprasum reproduces mainly by seed, whereas the other varieties spread mainly by bulbils. Lowland.|Archaeophyte|Var. babingtonii has extended its range and become more frequent since 1930, var. bulbiferum is confined to the Channel Islands where it is relatively stable, and var. ampeloprasum occurs in small populations in S.W. England and Wales and may be declining. The species may sometimes be mis-recorded for A. sativum.|As an archaeophyte A. ampeloprasum has a Mediterranean-Atlantic distribution.     © P. Shannon
Allium carinatum|A bulbous perennial herb which becomes naturalised by seed (var. pulchellum) or, perhaps more frequently, by bulbils (var. carinatum) in churchyards, rough and waste ground and on roadsides. Lowland.|Neophyte|A. carinatum was cultivated in Britain by 1789 and is frequently grown in gardens. It has been naturalised in our area since at least 1806. There is little evidence of a marked increase in range since the 1962 Atlas.|Native of C. & S.E. Europe; naturalised north and west of its native range.
Allium cepa|A bulbous perennial herb, widely grown in gardens and also in fields and found as a relic of cultivation or a throw-out on rubbish tips, waysides and waste ground. This species is a fertile diploid. Lowland.|Casual|A. cepa was being cultivated in British gardens by 995 (Harvey, 1981) and is very widely grown as a vegetable crop. It was recorded from the wild by 1927 (Oxon) but probably had a long unrecorded history as a casual before that. The increase in records is doubtless due to better recording of casual aliens rather than a genuine increase in the wild.|Origin uncertain; known from tomb paintings to have been cultivated by the Ancient Egyptians and now widespread as a crop.
Allium oleraceum|A bulbous perennial herb of dry, usually steeply sloping, calcareous grasslands, and on open sunny banks in river floodplains. 0-365 m (Dovedale, Derbys.).|Native|There has undoubtedly been some confusion with A. scorodoprasum in the past. There are now many more records of A. oleraceum than in the 1962 Atlas, although it is perhaps still under-recorded due to difficulties in locating plants in the field from early summer onwards. There are indications of some decline throughout its range.|European Temperate element; widely naturalised outside its native range.     © L. Rooney
Allium paradoxum|A bulbous perennial herb, spreading by means of bulbils in a wide variety of, usually ungrazed, situations such as river-banks, roadsides, field margins, other rough and waste ground, and in woodland. Generally lowland, but reaching 375 m at Carter Bar (Roxburghs.).|Neophyte|A. paradoxum was introduced into cultivation in 1823 and was first recorded in the wild near Edinburgh in 1863. It can be very invasive in disturbed habitats, and is increasingly abundant throughout its range, especially in S. Scotland. Its predominantly eastern distribution contrasts with that of A. triquetrum.|Native of the Caucasus and Iran.     © K.J. Walker, BSBI
Allium roseum|A bulbous perennial herb of rough and waste ground, open rocky slopes, hedge banks and roadsides. Lowland.|Neophyte|A. roseum was introduced into cultivation by 1752, and first recorded in the wild in 1837. Both var. bulbiferum and var. roseum are commonly cultivated in gardens; var. bulbiferum, in which some of the flowers in the umbel are replaced by bulbils, is particularly likely to be naturalised when planted or discarded in suitable habitats. A. roseum is spreading, especially in S.W. England.|A variable species, native of the Mediterranean region.     © L. Rooney
Allium schoenoprasum|A bulbous perennial herb found as a native in a range of habitats, usually on thin soils over limestone, serpentine and basic igneous rocks; it sometimes grows in rank grass on deeper soils, and in crevices of riverside bedrock. As an alien it grows on roadsides and rubbish tips. Lowland.|Native|The overall native distribution of this species is unchanged since the 1962 Atlas, but alien occurrences have increased. It is regarded by Scannell & Synnott (1987) as probably introduced in Ireland, but Curtis & McGough (1988) suggest that it is native on limestone pavement at L. Mask (E. Mayo).|Assigned to the Circumpolar Boreo-arctic Montane element, but with an anomalous distribution; widely naturalised outside its native range.     © L. Rooney
Allium scorodoprasum|A bulbous, perennial herb spreading mainly by bulbils in rough grassland and waste ground, on road verges and track sides and by railways. It sometimes occurs in more natural habitats such as sandy river banks, open woodlands on well-drained soils and a variety of coastal situations. Lowland.|Native|A. scorodoprasum is much better recorded than it was for the 1962 Atlas, and its distribution seems to be stable.|European Temperate element, with a continental distribution in W. Europe; widely naturalised outside its native range. Our plant is sometimes considered to be a horticulturally derived variant of the S. European A. scorodoprasum subsp. rotundum.     © K.J. Walker, BSBI
Allium sphaerocephalon|A bulbous perennial herb found as a possible native at only two localities: on dry, rocky S.- and W.-facing slopes in the Avon Gorge (W. Gloucs.), and on rough, sandy ground by the sea at St. Aubin`s Bay, Jersey. Both populations are very small. Lowland.|Native|or alien. A. sphaerocephalon was first cultivated in Britain in 1759, and was first recorded in the wild in Jersey in 1836 and in the Avon Gorge in 1847, where it is normally thought to be native but may be alien (Lovatt, 1982). Recreational pressure and safety works within the Avon Gorge may have contributed to a gradual decline in recent years. It appears to be stable in Jersey. As it is now widely grown in gardens, it can be expected to spread as an escape.|European Southern-temperate element.
Allium triquetrum|A bulbous perennial herb, spreading by ant-dispersed seed on roadsides, in hedge banks, on field margins and in rough and waste ground. Lowland.|Neophyte|A. triquetrum was introduced into cultivation by 1759 and noted as established here by 1849, initially in Guernsey. It is now thoroughly naturalised and increasingly abundant and widespread in milder areas with scattered, sometimes short-lived, populations elsewhere. It has considerably increased in numbers and range since it was mapped in the 1962 Atlas.|Native of the W. & C. Mediterranean region.     © P. Shannon
Allium ursinum|A bulbous perennial herb of moist woodlands, sometimes growing in more open situations such as riversides and hedge banks and occasionally in rock crevices, in scree and on coastal cliff ledges. Regeneration is primarily by seed. Generally lowland, but reaching c. 450 m at Great Clowder, Malham (Mid-W. Yorks.).|Native|There is little evidence of significant distributional change in this species since the 1962 Atlas, where it was mapped as `all records`.|European Temperate element.     © P. Shannon
