Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Cetrariella commixta","Lichen","DNA barcoding","","European","Leavitt, Steven D., Esslinger, Theodore L., Hansen, Eric Steen, Divakar, Pradeep K., Crespo, Ana, Loomis, Bradley F., Lumbsch, H. Thorsten","2014","DNA barcoding of brown Parmeliae (Parmeliaceae) species: a molecular approach for accurate specimen identification, emphasizing species in Greenland","Organisms Diversity & Evolution","14:11-20","Empirical paper","","","","Warming of Arctic and alpine regions has a substantial impact on high-altitude/-latitude ecosystems. Shifting biomes due to climate change may lead to adjustments in species distributions and potential extinctions. Therefore, detailed monitoring is requisite to assess biologically meaningful shifts in community composition and species distributions. Some Arctic-alpine lichens have been shown to be particularly sensitive to climatic shifts associated with global change. However, accurate identification of lichenized fungal species remains challenging and may limit the effective use of lichens in climate change research. Given the inherent difficulties in accurate identification of lichenized fungi and the potential value of efficient identifications for bio-monitoring research, we investigated the utility of DNA barcode identification of the 13 brown Parmeliae (Ascomycota) species occurring in Greenland. For these species, we assessed monophyly and genetic distances using the nuclear ribosomal internal transcribed spacer region (ITS), the standard DNA barcode for fungi. We also compared intraspecific distance values to a proposed intra-interspecific threshold value for Parmeliaceae to identify nominal taxa potentially masking previously unrecognized diversity. Our results indicated that the 13 brown Parmeliae species occurring in Greenland can be successfully discriminated using the ITS region. All phenotypically circumscribed species were recovered as well-supported, monophyletic clades. Furthermore, our data supported a barcode gap among congeners for all brown Parmeliae species investigated here. However, high intraspecific genetic distances suggest the potential for previously unrecognized species-lineages in at least five species: Melanelia agnata, M. hepatizon, Montanelia disjuncta, M. panniformis, and M. tominii. Our research facilitates effective, long-term bio-monitoring of climate change in Greenland using lichens by providing accurate molecular identification of brown Parmeliae specimens."
"Cladonia arbuscula subsp. arbuscula","Lichen","Phylogeography","Nuclear sequences","","Myllys, L, Stenroos, S, et al.","2003","Phylogeny of bipolar Cladonia arbuscula and Cladonia mitis (Lecanorales, Euascomycetes)","Molecular Phylogenetics and Evolution","1: 58-69","Empirical paper","","","","Phylogenetic relationships and levels of geographic differentiation of two closely related bipolar taxa, Cladonia arbuscula and Cladonia mitis, were cladistically examined with ITS regions, SSU rDNA introns, partial -tubulin, and partial glyceraldehyde 3-phosphate dehydrogenase (GAPDH) genes. In the combined analysis of the four genes, C. arbuscula was paraphyletic, while C. mitis, nested within C. arbuscula, formed a strongly supported monophyletic group. C. arbuscula samples were divided into three separate clades: "arbuscula I," appearing as basal to the other ingroup taxa, "arbuscula II," and "arbuscula III" (the latter represented by only one specimen), which were not correlated with any morphological trait. Only C. mitis specimens formed a morphologically and chemically distinct group. None of the main clades was correlated with geographic origin. The separate analyses were poorly resolved, and in most cases samples from "arbuscula I," "arbuscula II," and "arbuscula III" clades were intermixed. An incongruence test revealed conflict among the four gene regions in almost all cases. Only ITS regions and introns were not significantly incongruent, suggesting lack of recombination within the ribosomal DNA locus. Incomplete lineage sorting and recombination were considered to be the main reasons accounting for the incongruencies. The high proportion of shared polymorphisms between the "arbuscula I" and "arbuscula II" clades, especially found from the -tubulin gene and from the ITS regions, and the lack of corroborating morphological characters both indicate a short history of reproductive isolation among the groups. The lack of genetic differentiation among the northern and southern samples within the main clades indicates a relatively recent gene flow, which may have resulted from migrations during the Pleistocene glaciations or from more recent long-distance dispersal."
"Cladonia arbuscula subsp. arbuscula","Lichen","Genetic diversity assessment","Nuclear sequences","North American","Robertson J, Peircey-Normore D","2007","Gene flow in symbionts of Cladonia arbuscula","Lichenologist","39: 69-82","Empirical Paper","","","","Genetic diversity in symbionts of the lichen Cladonia arbuscula was investigated. Forty-eight specimens of Cladonia arbuscula located within a 2 km range at Payuk Lake in Manitoba were collected. Population structure and method of symbiont transmission in C. arbuscula were inferred by examining the presence or absence of introns in the nuclear small subunit (SSU) ribosomal DNA (rDNA) of the mycobiont and restriction fragment length polymorphism (RFLP) of the internal transcribed spacer (ITS) rDNA in the photobiont. The mycobiont showed a high level of genetic variation and the photobiont a low level of variation within the small geographic range studied. An analysis of molecular variance of fungal genotypes showed significant population subdivision for the mycobiont when the data were analysed at P=0·05. No population subdivision was detected when P=0·001. The photobiont also showed no population subdivision. Photobiont genotypes did not correlate with mycobiont genotypes suggesting the symbionts were not transmitted together in the same propagule. Multiple fungal genotypes were also detected in C. arbuscula and possible explanations were discussed."
"Cladonia chlorophaea s. lat.","Lichen","Genetic diversity assessment","Nuclear Southern Hybridisation","Northern Hemisphere","DePriest, PT","1994","Variation in the Cladonia chlorophaea complex II: ribosomal DNA variation in a Southern Applalchian population","Bryologist","97: 117-126","Empirical paper","","","",""
"Cladonia floerkeana","Lichen","Breeding system","AFLP +  Nuclear sequences +  RAPD","","Seymour, FA, Crittenden, PD, et al","2005","Breeding systems in the lichen-forming fungal genus Cladonia","Fungal Genetics and Biology","42: 554-563","Empirical paper","","","","The breeding systems of three species of the lichen-forming fungal genus Cladonia were investigated. Cladonia floerkeana, Cladonia galindezii, and Cladonia portentosa were selected due to their contrasting ecologies and reproductive strategies, and because they belong to the Lecanorales, the major lichen-forming order. Sibling single-spore progeny were collected from apothecia and used to establish axenic cultures. Two experimental approaches were used to determine breeding systems. First, RAPD-PCR and AFLP fingerprinting revealed that spores from the same apothecium were not genetically uniform, indicating heterothallism in each of these species. Second, segregation of a MAT-2 mating-type gene was assessed using degenerate PCR primers designed to amplify the high-mobility group region. A MAT-2 gene occurred in 40–60% of progeny, consistent with a heterothallic breeding system. The PCR product from C. galindezii was cloned and sequenced, and confirmed to have the characteristic motifs of a MAT-2 HMG gene. This is thought to be the first report of the use of segregation of a mating-type gene among ascospore progeny to determine the breeding system of a fungal species. The ecological significance of the results is discussed."
"Cladonia mitis","Lichen","Phylogeography","Nuclear sequences","","Myllys, L, Stenroos, S, et al.","2003","Phylogeny of bipolar Cladonia arbuscula and Cladonia mitis (Lecanorales, Euascomycetes)","Molecular Phylogenetics and Evolution","1: 58-69","Empirical paper","","","","Phylogenetic relationships and levels of geographic differentiation of two closely related bipolar taxa, Cladonia arbuscula and Cladonia mitis, were cladistically examined with ITS regions, SSU rDNA introns, partial -tubulin, and partial glyceraldehyde 3-phosphate dehydrogenase (GAPDH) genes. In the combined analysis of the four genes, C. arbuscula was paraphyletic, while C. mitis, nested within C. arbuscula, formed a strongly supported monophyletic group. C. arbuscula samples were divided into three separate clades: "arbuscula I," appearing as basal to the other ingroup taxa, "arbuscula II," and "arbuscula III" (the latter represented by only one specimen), which were not correlated with any morphological trait. Only C. mitis specimens formed a morphologically and chemically distinct group. None of the main clades was correlated with geographic origin. The separate analyses were poorly resolved, and in most cases samples from "arbuscula I," "arbuscula II," and "arbuscula III" clades were intermixed. An incongruence test revealed conflict among the four gene regions in almost all cases. Only ITS regions and introns were not significantly incongruent, suggesting lack of recombination within the ribosomal DNA locus. Incomplete lineage sorting and recombination were considered to be the main reasons accounting for the incongruencies. The high proportion of shared polymorphisms between the "arbuscula I" and "arbuscula II" clades, especially found from the -tubulin gene and from the ITS regions, and the lack of corroborating morphological characters both indicate a short history of reproductive isolation among the groups. The lack of genetic differentiation among the northern and southern samples within the main clades indicates a relatively recent gene flow, which may have resulted from migrations during the Pleistocene glaciations or from more recent long-distance dispersal."
"Cladonia portentosa","Lichen","Breeding system","AFLP +  Nuclear sequences +  RAPD","","Seymour, FA, Crittenden, PD, et al","2005","Breeding systems in the lichen-forming fungal genus Cladonia","Fungal Genetics and Biology","42: 554-563","Empirical paper","","","","The breeding systems of three species of the lichen-forming fungal genus Cladonia were investigated. Cladonia floerkeana, Cladonia galindezii, and Cladonia portentosa were selected due to their contrasting ecologies and reproductive strategies, and because they belong to the Lecanorales, the major lichen-forming order. Sibling single-spore progeny were collected from apothecia and used to establish axenic cultures. Two experimental approaches were used to determine breeding systems. First, RAPD-PCR and AFLP fingerprinting revealed that spores from the same apothecium were not genetically uniform, indicating heterothallism in each of these species. Second, segregation of a MAT-2 mating-type gene was assessed using degenerate PCR primers designed to amplify the high-mobility group region. A MAT-2 gene occurred in 40–60% of progeny, consistent with a heterothallic breeding system. The PCR product from C. galindezii was cloned and sequenced, and confirmed to have the characteristic motifs of a MAT-2 HMG gene. This is thought to be the first report of the use of segregation of a mating-type gene among ascospore progeny to determine the breeding system of a fungal species. The ecological significance of the results is discussed."
"Cladonia rangiferina","Lichen","DNA barcoding","","European","Kanz, Birgit, von Brackel, Wolfgang, Cezanne, Rainer, Eichler, Marion, Hohmann, Marie-Luise, Teuber, Dietmar, Printzen, Christian","2015","DNA barcodes for the distinction of reindeer lichens: a case study using Cladonia rangiferina and C. stygia","Herzogia","28(2):445-464","Empirical paper","","","","Many groups of lichens are difficult to identify due to their phenotypical plasticity. Molecular methods are therefore increasingly used not only to elucidate phylogenetic relationships among taxa, but also to assign individuals to species. Most members of the genus Cladonia are conspicuous and frequently collected, but notoriously variable. At the same time the genus comprises species that have to be regularly monitored under EU legislation. A "DNA barcoding" approach could thus be very helpful to correctly identify taxa. The internal transcribed spacer region of the ribosomal RNA repeat has been proposed as a universal barcoding marker for fungi. However, it has also been shown that data from this locus alone might be insufficient to reliably distinguish members of Cladonia. Taking the two similar species C. rangiferina and C. stygia as an example, we tested the suitability of ITS and five additional gene loci to distinguish species of Cladonia subgenus Cladina. Infraspecific variability was high in most of the investigated loci. Bayesian species delimitation using a multispecies coalescent approach based on multilocus DNA sequence data allowed us to separate the two species with high statistical support. The clustering of samples was also supported by phenotypic differences between the groups and a phylogenetic analysis. This allowed us to test the usefulness of single gene loci as barcoding markers on an objective basis. The only locus, for which minimum interspecific divergence exceeded maximum infraspecific variability in both species, was the small subunit of the mitochondrial ribosomal RNA repeat. Whether this locus should be suggested as an alternative or additional barcoding marker for the separation of Cladonia species needs to be tested with a broader taxonomic sample."
"Cladonia rangiformis","Lichen","Genetic diversity assessment","","European","Pino-Bodas, R, Laakso, I, Stenroos, S","2017","Genetic variation and factors affecting the genetic structure of the lichenicolous fungus Heterocephalacria bachmannii (Filobasidiales, Basidiomycota)","Plos One","12","Empirical paper","","","","Heterocephalacria bachmannii is a lichenicolous fungus that takes as hosts numerous lichen species of the genus Cladonia. In the present study we analyze whether the geographical distance, the host species or the host secondary metabolites determine the genetic structure of this parasite. To address the question, populations mainly from the Southern Europe, Southern Finland and the Azores were sampled. The specimens were collected from 20 different host species representing ten chemotypes. Three loci, ITS rDNA, LSU rDNA and mtSSU, were sequenced. The genetic structure was assessed by AMOVA, redundance analyses and Bayesian clustering methods. The results indicated that the host species and the host secondary metabolites are the most influential factors over the genetic structure of this lichenicolous fungus. In addition, the genetic structure of H. bachmannii was compared with that of one of its hosts, Cladonia rangiformis. The population structure of parasite and host were discordant. The contents in phenolic compounds and fatty acids of C. rangiformis were quantified in order to test whether it had some influence on the genetic structure of the species. But no correlation was found with the genetic clusters of H. bachmannii."
"Cladonia spp.","Lichen","DNA barcoding +  Taxonomic clarification","","Northern Hemisphere","Pino-Bodas, Raquel, Martin, Maria P., Burgaz, Ana R., Lumbsch, H. Thorsten","2013","Species delimitation in Cladonia (Ascomycota): a challenge to the DNA barcoding philosophy","Molecular Ecology Resources","13:1058-1068","Empirical paper","","","","The lichen-forming fungal genus Cladonia is species-rich with approximately 500 described species. The accepted barcode for fungi (ITS rDNA) often fails in identifying Cladonia spp. In order to find other markers that, in combination with the ITS rDNA region can be used for species identification in Cladonia, we studied the loci IGS rDNA, ef1, rpb2 and cox1. A total of 782 sequences from 36 species have been analyzed. PCR amplification success rate, intraspecific and interspecific genetic distance variation, calculated using the K2P model, and the correct identification percentage (PCI) were taken into account to assess possible barcode regions. The marker showing the least intraspecific genetic distance range was cox1, followed by ITS rDNA and ef1. Of the five studied markers only cox1 showed a barcoding gap. The rpb2 locus showed the highest PCI values, but it was the most difficult to amplify. The highest correct identification rates using blast method were obtained with rpb2."
"Cladonia subcervicornis","Lichen","Genetic diversity assessment","Organelle sequences","European","Printzen, C and Ekman, S","2003","Local population subdivision in the lichen Cladonia subcervicornis as revealed by mitochondrial cytochrome oxidase subunit 1 intron sequences","Mycologia","95: 399-406","Empirical paper","","","","A 753-771 bp long intronic sequence from the mitochondrial cox I gene of Cladonia subcervicornis (Cladoniaceae, Lecanorales, Ascomycota) was amplified with newly designed PCR primers. The cox I intron sequence, which apparently has not been used for phylogenetic or population genetic research in fungi, displays high infraspecific variation. Sequences were obtained from 124 specimens from four neighboring localities in coastal Hordaland, western Norway. An exact test of population differentiation and population pairwise fixation indices F-ST show significantly reduced gene flow between the northernmost locality and the other three populations. Although Cladonia subcervicornis frequently produces apothecia, we conclude that dispersal by ascospores over long distances is rather ineffective in this species."
"Dermatocarpon luridum","Lichen","Genetic diversity assessment","","Euro-North American","Fontaine, Kyle M., Stocker-Woergoetter, Elfie, Booth, Tom, Piercey-Normore, Michele D.","2013","Genetic diversity of the lichen-forming alga, Diplosphaera chodatii, in North America and Europe","Lichenologist","45:799-813","Empirical paper","","","","Dermatocarpon luridum is a subaquatic lichen which is distributed within temperate climatic zones around the world. It colonizes rock substrata along the shoreline of lakes and rivers of watersheds that regularly experience water level fluctuations. The mycobiont produces perithecia with small, simple spores that are thought to be wind dispersed. The photobiont, Diplosphaera chodatii, occurs both free-living and lichenized but little is known about its distribution and dispersal. The goal of this study was to compare the population structure of the photobiont from lakes and rivers in central North America with those of Europe. Specimens were collected in Manitoba, Canada and Austria. Population structure of the algal symbiont was assessed using the internal transcribed spacer (ITS) of ribosomal DNA (rDNA) and actin gene sequences. Results showed that genetic diversity and gene flow was high within local populations, but gene flow was low between continental populations. Low levels of gene flow between the most distant populations support the isolation-by-distance theory. The photobiont on both continents is also reported to be the photobiont for other lichen species contributing to photobiont availability for D. luridum."
"Evernia divaricata ","Lichen","Breeding system +  Genetic diversity assessment","","Euro-North American","Rolstad, Jorund, Ekman, Stefan, Andersen, Heidi Lie, Rolstad, Erlend","2013","Genetic variation and reproductive mode in two epiphytic lichens of conservation concern: a transatlantic study of Evernia divaricata and Usnea longissima","Botany-botanique","91:69-81","Empirical paper","","","","North European epiphytic lichens are often genetically impoverished compared with their North American counterparts. This has been hypothesized to impede sexual reproduction due to reduced chances of finding compatible mating type partners. We compared genetic variation and reproductive mode in two threatened Scandinavian lichens, Evernia divaricata and Usnea longissima, with more viable populations in North America to see (i) if these species also show genetical depletion in northern Europe and (ii) if the occurrence of sexual propagules (ascospores in apothecia) is more prevalent in genetically diverse populations. Genetic variation of the fungal component was assessed by sequencing two nuclear rDNA gene regions (ITS and IGS) in 1005 and 1477 thalli, collected from 92 and 160 localities of E. divaricata and U. longissima, respectively. Scandinavian populations of both species were almost devoid of genetic variation compared with much higher genetic diversity in North America. We found no support for the proposed relationship between genetic diversity and fertility. Fertile thalli were found in several genetically invariable populations. Fertility increased with population size and regional abundance in E. divaricata, but not in U. longissima. In Scandinavia, E. divaricata was more fertile than previously recorded, whereas all sampled populations of U. longissima were sterile and possibly clonal."
"Graphis elegans","Lichen","Marker development","RAPD","Local: Welsh vice-county area","Murtagh, GJ, Dyer, PS, McClure, PC and Crittenden, PD","1999","Use of randomly amplified polymorphic DNA markers as a tool to study variation in lichen-forming fungi.","Lichenologist","31: 257-267.","Empirical paper","","","","A protocol is described to enable the production of reliable genetic fingerprints of lichen-forming fungi using randomly amplified polymorphic DNA (RAPD) markers. Key features of the method are the use of mycobiont DNA extracted from axenic cultures by a phenol-chloroform procedure, and PCR amplification using DyNAzyme II DNA polymerase. RAPD-PCR fingerprints of Graphis scripta, G. elegans and Phaeographis dendritica were successfully generated using this protocol and individual isolates could be identified on the basis of differences in banding patterns produced. DNA extracted from whole thalli of G. scripta was also subjected to RAPD-PCR but the fingerprints produced differed from those given by axenic cultures of the mycobiont. Therefore difficulties of interpretation may arise when whole thalli are used in RAPD analysis."
