Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Asplenium ceterach","Fern","Taxonomic clarification","Isozyme/Allozyme","European","van den Heede, CJ, Pajaron, S, Pangua, E, Viane, RLL","2004","Asplenium ceterach and A. octoploideum on the Canary Islands (Aspleniaceae, Pteridophyta).","American Fern Journal","94: 81-111.","Empirical paper","","","","Isozyme and plastid DNA analysis prove that true. A. ceterach occurs on the Canary Islands, in addition to A. aureum and an octoploid taxon. Combining morphological and cytological observations leads to correct determination, but the exospore length alone also allows reliable identification of these Canarian species. Our allozyme data suggest that the Canarian A. ceterach population is not completely genetically isolated from the European ones. The holotype of Ceterach aureum var. parvifolium, formerly regarded as an octoploid taxon, proved to be A. ceterach, leaving the octoploid without a correct name. The recently described A. octoploideum shows monomorphic, presumably fixed heterozygosity for a combination of the patterns seen in A. ceterach and A. aureum at four loci (Aat, Skdh, Me, and Pgi-2) confirming its allo-octoploid nature. It most probably originated by chromosome doubling in a tetraploid hybrid between A. aureum and A. ceterach or via the union of their unreduced gametes. Pgi-2 indicates Multiple origins of the allo-octoploid, implicating recurrent gene flow from tetraploids to octoploids."
"Asplenium obovatum","Fern","Hybridisation +  Polyploidy +  Taxonomic clarification","Isozyme/Allozyme","","Herrero, A, Pajaron, S, Prada, C","2001","Isozyme variation and genetic relationships among taxa in the Asplenium obovatum group (Aspleniaceae, Pteridophyta).","American Journal of Botany","88: 2040-2050.","Empirical paper","","","","The Asplenium obovatum group consists of diploid and tetraploid taxa; the origin of the tetraploid A. obovatum subsp. lanceolatum was previously considered to have occurred via autopolyploidy, involving one of the diploids of the group, either A. obovatum subsp. obovatum var. obovatum or var. protobillotii. To test this hypothesis, electrophoretic analyses of eight enzyme systems encoded by fourteen putative loci and cytological studies of the artificial hybrid between both diploid varieties were conducted. Alleles of the loci Lap- 1, Mdh-2, Mdh-3, Pgm-1, Pgm-1', and 6Pgd-1 emerged as genetic markets for the diploids and were present in an additive pattern in most of the analyzed individuals of the tetraploid. Cytological results indicated a high degree of genomic homology between the diploids. These results indicated that the tetraploid behaves as a segmental allopolyploid. Our results showed that both diploids were involved in the origin of the tetraploid. We propose the new combination Asplenium obovatum subsp. protobillotii for one of the diploids."
"Asplenium onopteris","Fern","DNA barcoding","Organelle sequences","European","de Groot GA, During HJ, Maas JW, Schneider H, Vogel JC, Erkens RHJ","2011","Use of rbcL and trnL-F as a Two-Locus DNA Barcode for Identification of NW-European Ferns: An Ecological Perspective","Plos One ","6","Empirical paper","","","","Although consensus has now been reached on a general two-locus DNA barcode for land plants, the selected combination of markers (rbcL + matK) is not applicable for ferns at the moment. Yet especially for ferns, DNA barcoding is potentially of great value since fern gametophytes-while playing an essential role in fern colonization and reproduction-generally lack the morphological complexity for morphology-based identification and have therefore been underappreciated in ecological studies. We evaluated the potential of a combination of rbcL with a noncoding plastid marker, trnL-F, to obtain DNA-identifications for fern species. A regional approach was adopted, by creating a reference database of trusted rbcL and trnL-F sequences for the wild-occurring homosporous ferns of NW-Europe. A combination of parsimony analyses and distance-based analyses was performed to evaluate the discriminatory power of the two-region barcode. DNA was successfully extracted from 86 tiny fern gametophytes and was used as a test case for the performance of DNA-based identification. Primer universality proved high for both markers. Based on the combined rbcL + trnL-F dataset, all genera as well as all species with non-equal chloroplast genomes formed their own well supported monophyletic clade, indicating a high discriminatory power. Interspecific distances were larger than intraspecific distances for all tested taxa. Identification tests on gametophytes showed a comparable result. All test samples could be identified to genus level, species identification was well possible unless they belonged to a pair of Dryopteris species with completely identical chloroplast genomes. Our results suggest a high potential of the combined use of rbcL and trnL-F as a two-locus cpDNA barcode for identification of fern species. A regional approach may be preferred for ecological tests. We here offer such a ready-to-use barcoding approach for ferns, which opens the way for answering a whole range of questions previously unaddressed in fern gametophyte ecology."
"Asplenium ruta muraria","Fern","DNA barcoding","Organelle sequences","European","de Groot GA, During HJ, Maas JW, Schneider H, Vogel JC, Erkens RHJ","2011","Use of rbcL and trnL-F as a Two-Locus DNA Barcode for Identification of NW-European Ferns: An Ecological Perspective","Plos One ","6","Empirical paper","","","","Although consensus has now been reached on a general two-locus DNA barcode for land plants, the selected combination of markers (rbcL + matK) is not applicable for ferns at the moment. Yet especially for ferns, DNA barcoding is potentially of great value since fern gametophytes-while playing an essential role in fern colonization and reproduction-generally lack the morphological complexity for morphology-based identification and have therefore been underappreciated in ecological studies. We evaluated the potential of a combination of rbcL with a noncoding plastid marker, trnL-F, to obtain DNA-identifications for fern species. A regional approach was adopted, by creating a reference database of trusted rbcL and trnL-F sequences for the wild-occurring homosporous ferns of NW-Europe. A combination of parsimony analyses and distance-based analyses was performed to evaluate the discriminatory power of the two-region barcode. DNA was successfully extracted from 86 tiny fern gametophytes and was used as a test case for the performance of DNA-based identification. Primer universality proved high for both markers. Based on the combined rbcL + trnL-F dataset, all genera as well as all species with non-equal chloroplast genomes formed their own well supported monophyletic clade, indicating a high discriminatory power. Interspecific distances were larger than intraspecific distances for all tested taxa. Identification tests on gametophytes showed a comparable result. All test samples could be identified to genus level, species identification was well possible unless they belonged to a pair of Dryopteris species with completely identical chloroplast genomes. Our results suggest a high potential of the combined use of rbcL and trnL-F as a two-locus cpDNA barcode for identification of fern species. A regional approach may be preferred for ecological tests. We here offer such a ready-to-use barcoding approach for ferns, which opens the way for answering a whole range of questions previously unaddressed in fern gametophyte ecology."
"Asplenium ruta-muraria","Fern","Conservation +  Phylogeography","Isozyme/Allozyme","","Vogel, JC, Rumsey, FJ, Schneller, JJ, Barrett, JA and Gibby, M","1999","Where are the glacial refugia in Europe? Evidence from pteridophytes.","Biological Journal of the Linnean Society","66: 23-37.","Summary Paper","","","","In this paper we demonstrate that, by investigating polyploid complexes in Asplenium, it is possible to locate the areas in Europe that are southern glacial refugia, and are likely to have been so since the beginning of the Pleistocene during the consecutive cold and warm periods in Europe. Identification and conservation of these specific areas that serve as safe havens for plants, and perhaps animals, is of paramount importance for the maintenance of European biodiversity because Man’s activities are resulting in an ever-increasing loss of natural habitats and putting diversity at risk. The genus Asplenium in Europe comprises some 50 taxa: half of these are diploid while the other half are polyploids derived from the diploids. All aspleniums in Europe are (small) rock ferns with high substrate specificity. Today, most of mainland Europe, Scandinavia and the British Isles has been colonized by polyploid Asplenium species, while the diploids that gave rise to these polyploids are distributed around (and more or less confined to) the Mediterranean Basin. In the tetraploids genetic variation is partitioned mostly between sites, whereas diploids show a high degree of genetic variation both within and between sites. The tetraploid taxa seem capable of single spore colonization via intragametophytic selfing, but the diploid taxa appear to be predominantly outbreeding. For most diploids at least two gametophytes, produced by different spores, have to be present to achieve fertilization and subsequent sporophyte formation for the successful colonization of a new site. This results in a slower rate of colonization. The formation of auto- and allopolyploid taxa from diploid communities appears to have been a recurrent and common feature in Europe. Minority cytotype exclusion is likely to prevent the establishment of tetraploids within the diploid communities, but spores from tetraploids can establish populations outside the diploid communities. The differences between colonization abilities of tetraploid and ancestral diploid taxa, resulting from their different breeding systems, has prevented the merging and mingling of their ranges and led to the establishment of contact/ hybrid zones. This has resulted in the restriction of diploid populations to ancient glacial refugia and the colonization of the rest of Europe by polyploids. Mapping the current distribution of these diploid communities and comparing the genetic diversity within and between outbreeding diploid Asplenium taxa allows us to define the area, age and historical biogeography of these refugia and to assess their importance for present day genetic and species diversity in Europe."
"Asplenium ruta-muraria","Fern","Genetic diversity assessment","To confirm","","Schneller JJ and Holdereggerr R","1996","Colonization events and genetic variability within populations of Asplenium ruta-muralis L.","Pteridology in perspective","571-580.","Empirical paper","Camus J.M., Gibby M. and Johns R.J.","Royal Botanic Gardens, Kew","",""
"Asplenium ruta-muraria","Fern","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","European","Schneller, JJ, Holderegger, R","1996","Genetic variation in small, isolated fern populations.","Journal of Vegetation Science","7: 113-120.","Empirical paper","","","","Differences in genetic variability of several small, isolated populations of four fern species in a restricted area in the Swiss lowlands reflect differences in breeding system, population size, the degree of population fragmentation, and ecological requirements. The investigated populations of Asplenium septentrionale show only little genetic variability (isozyme variation) without gene flow among populations (based on the banding pattern of multi-locus phenotypes), and they persist for long periods despite the small population sizes. In Asplenium ruta-muraria, genetic variability is correlated with age. Young populations show no genetic variation, while old populations show some. All individuals of Polypodium vulgare investigated, either epiphytic or epilithic, share exactly the same enzyme phenotype. The results for these three species can be related to predominance of inbreeding, lack of inbreeding depression, polyploidy, long-distance dispersal, production of large amounts of diaspores, single-spore colonization, and perennial life cycles. Genetic variability in these three species does not seem to be absolutely necessary for the maintenance of their populations. Ecological and demographic factors are considered to be more important. An isolated, glacial relict population of diploid Asplenium viride shows high variability in two out of eight enzyme systems, which may be due to prevailing outbreeding. We discuss aspects of the importance of genetics and life history for conservation biology."
"Asplenium scolopendrium","Fern","Marker development","Nuclear microsatellite","European","de Groot GA, Korpelainen H, Wubs ERJ, Erkens R","2011","ISOLATION OF POLYMORPHIC MICROSATELLITE MARKERS AND TESTS OF CROSS-AMPLIFICATION IN FOUR WIDESPREAD EUROPEAN CALCICOLE FERNS","American Journal of Botany","98: E319-E322","Empirical paper","","","","Premise of the study: Studies on the biogeography and population genetics of the widespread European rock ferns Asplenium scolopendrium, A. trichomanes subsp. quadrivalens, Polystichum setiferum, and P. aculeatum would potentially yield interesting new insights into the colonization capacities of ferns. Markers with sufficient resolution for detailed genetic studies are, however, not yet available. Methods and Results: Using genome screening with intersimple sequence repeat (ISSR) primers, a total of 16 different microsatellite markers were isolated and characterized for the four species. Some of these markers could be exchanged within each congeneric pair. Conclusions: The developed primer sets will be very useful for analyses of the biogeography and population genetics of some widespread calcicole ferns. The observed cross-amplification rates suggest a high potential for application on additional species from the same genera."
"Asplenium scolopendrium","Fern","Breeding system +  Genetic diversity assessment","Nuclear microsatellite","European","De Groot, G. A., H. J. During, S. W. Ansell, H. Schneider, P. Bremer, E. R. J. Wubs, J. W. Maas, H. Korpelainen, and R. H. J. Erkens","2012","Diverse spore rains and limited local exchange shape fern genetic diversity in a recently created habitat colonized by long-distance dispersal","Annals of Botany","109:965-978","Empirical paper","","","","Populations established by long-distance colonization are expected to show low levels of genetic variation per population, but strong genetic differentiation among populations. Whether isolated populations indeed show this genetic signature of isolation depends on the amount and diversity of diaspores arriving by long-distance dispersal, and time since colonization. For ferns, however, reliable estimates of long-distance dispersal rates remain largely unknown, and previous studies on fern population genetics often sampled older or non-isolated populations. Young populations in recent, disjunct habitats form a useful study system to improve our understanding of the genetic impact of long-distance dispersal. Microsatellite markers were used to analyse the amount and distribution of genetic diversity in young populations of four widespread calcicole ferns (Asplenium scolopendrium, diploid; Asplenium trichomanes subsp. quadrivalens, tetraploid; Polystichum setiferum, diploid; and Polystichum aculeatum, tetraploid), which are rare in The Netherlands but established multiple populations in a forest (the Kuinderbos) on recently reclaimed Dutch polder land following long-distance dispersal. Reference samples from populations throughout Europe were used to assess how much of the existing variation was already present in the Kuinderbos. A large part of the Dutch and European genetic diversity in all four species was already found in the Kuinderbos. This diversity was strongly partitioned among populations. Most populations showed low genetic variation and high inbreeding coefficients, and were assigned to single, unique gene pools in cluster analyses. Evidence for interpopulational gene flow was low, except for the most abundant species. The results show that all four species, diploids as well as polyploids, were capable of frequent long-distance colonization via single-spore establishment. This indicates that even isolated habitats receive dense and diverse spore rains, including genotypes capable of self-fertilization. Limited gene flow may conserve the genetic signature of multiple long-distance colonization events for several decades."
"Asplenium septentrionale","Fern","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","European","Schneller, JJ, Holderegger, R","1996","Genetic variation in small, isolated fern populations.","Journal of Vegetation Science","7: 113-120.","Empirical paper","","","","Differences in genetic variability of several small, isolated populations of four fern species in a restricted area in the Swiss lowlands reflect differences in breeding system, population size, the degree of population fragmentation, and ecological requirements. The investigated populations of Asplenium septentrionale show only little genetic variability (isozyme variation) without gene flow among populations (based on the banding pattern of multi-locus phenotypes), and they persist for long periods despite the small population sizes. In Asplenium ruta-muraria, genetic variability is correlated with age. Young populations show no genetic variation, while old populations show some. All individuals of Polypodium vulgare investigated, either epiphytic or epilithic, share exactly the same enzyme phenotype. The results for these three species can be related to predominance of inbreeding, lack of inbreeding depression, polyploidy, long-distance dispersal, production of large amounts of diaspores, single-spore colonization, and perennial life cycles. Genetic variability in these three species does not seem to be absolutely necessary for the maintenance of their populations. Ecological and demographic factors are considered to be more important. An isolated, glacial relict population of diploid Asplenium viride shows high variability in two out of eight enzyme systems, which may be due to prevailing outbreeding. We discuss aspects of the importance of genetics and life history for conservation biology."
"Asplenium septentrionale","Fern","Hybridisation +  Polyploidy","Organelle sequences","European","Vogel, JC, Russell, SJ, Rumsey, FJ, Barrett, JA, Gibby, M","1998","On hybrid formation in the rock fern Asplenium x alternifolium (Aspleniaceae, Pteridophyta).","Botanica Acta","111: 241-246.","Empirical paper","","","","Length polymorphism in a non-coding spacer (trnL(UAA)- trnF(GAA)) in the chloroplast DNA was used in the investigation of the origin of the most common and conspicuous European fern hybrid, Asplenium x alternifolium (Aspleniaceae, Pteridophyta). The origins of A. x alternifolium, the hybrid between A. trichomanes s.l. and A. septentrionale s.l. was studied at three ploidy levels, diploid, triploid and tetraploid. The cpDNA technique allowed us to investigate the mode of hybrid formation between sexual species for the first time over a wide geographic range and with a large sample rite. Morphological variation in this hybrid has previously been attributed to different reciprocal parental combinations, and to the influence of chloroplast genes on morphogenesis. Our results demonstrate that one parent, A. septentrionale s.l., acts predominantly as the female parent in these hybrids, with only one population of A. x alternifolium showing reciprocal hybridity. The discovery of predominantly unidirectional hybrid formation in this hybrid may be explained by the different breeding systems of the parental taxa. The role of gametophyte ecology is also assessed."
"Asplenium septentrionale","Fern","DNA barcoding","Organelle sequences","European","de Groot GA, During HJ, Maas JW, Schneider H, Vogel JC, Erkens RHJ","2011","Use of rbcL and trnL-F as a Two-Locus DNA Barcode for Identification of NW-European Ferns: An Ecological Perspective","Plos One ","6","Empirical paper","","","","Although consensus has now been reached on a general two-locus DNA barcode for land plants, the selected combination of markers (rbcL + matK) is not applicable for ferns at the moment. Yet especially for ferns, DNA barcoding is potentially of great value since fern gametophytes-while playing an essential role in fern colonization and reproduction-generally lack the morphological complexity for morphology-based identification and have therefore been underappreciated in ecological studies. We evaluated the potential of a combination of rbcL with a noncoding plastid marker, trnL-F, to obtain DNA-identifications for fern species. A regional approach was adopted, by creating a reference database of trusted rbcL and trnL-F sequences for the wild-occurring homosporous ferns of NW-Europe. A combination of parsimony analyses and distance-based analyses was performed to evaluate the discriminatory power of the two-region barcode. DNA was successfully extracted from 86 tiny fern gametophytes and was used as a test case for the performance of DNA-based identification. Primer universality proved high for both markers. Based on the combined rbcL + trnL-F dataset, all genera as well as all species with non-equal chloroplast genomes formed their own well supported monophyletic clade, indicating a high discriminatory power. Interspecific distances were larger than intraspecific distances for all tested taxa. Identification tests on gametophytes showed a comparable result. All test samples could be identified to genus level, species identification was well possible unless they belonged to a pair of Dryopteris species with completely identical chloroplast genomes. Our results suggest a high potential of the combined use of rbcL and trnL-F as a two-locus cpDNA barcode for identification of fern species. A regional approach may be preferred for ecological tests. We here offer such a ready-to-use barcoding approach for ferns, which opens the way for answering a whole range of questions previously unaddressed in fern gametophyte ecology."
"Asplenium trichomanes","Fern","Conservation +  Phylogeography","Isozyme/Allozyme","","Vogel, JC, Rumsey, FJ, Schneller, JJ, Barrett, JA and Gibby, M","1999","Where are the glacial refugia in Europe? Evidence from pteridophytes.","Biological Journal of the Linnean Society","66: 23-37.","Summary Paper","","","","In this paper we demonstrate that, by investigating polyploid complexes in Asplenium, it is possible to locate the areas in Europe that are southern glacial refugia, and are likely to have been so since the beginning of the Pleistocene during the consecutive cold and warm periods in Europe. Identification and conservation of these specific areas that serve as safe havens for plants, and perhaps animals, is of paramount importance for the maintenance of European biodiversity because Man’s activities are resulting in an ever-increasing loss of natural habitats and putting diversity at risk. The genus Asplenium in Europe comprises some 50 taxa: half of these are diploid while the other half are polyploids derived from the diploids. All aspleniums in Europe are (small) rock ferns with high substrate specificity. Today, most of mainland Europe, Scandinavia and the British Isles has been colonized by polyploid Asplenium species, while the diploids that gave rise to these polyploids are distributed around (and more or less confined to) the Mediterranean Basin. In the tetraploids genetic variation is partitioned mostly between sites, whereas diploids show a high degree of genetic variation both within and between sites. The tetraploid taxa seem capable of single spore colonization via intragametophytic selfing, but the diploid taxa appear to be predominantly outbreeding. For most diploids at least two gametophytes, produced by different spores, have to be present to achieve fertilization and subsequent sporophyte formation for the successful colonization of a new site. This results in a slower rate of colonization. The formation of auto- and allopolyploid taxa from diploid communities appears to have been a recurrent and common feature in Europe. Minority cytotype exclusion is likely to prevent the establishment of tetraploids within the diploid communities, but spores from tetraploids can establish populations outside the diploid communities. The differences between colonization abilities of tetraploid and ancestral diploid taxa, resulting from their different breeding systems, has prevented the merging and mingling of their ranges and led to the establishment of contact/ hybrid zones. This has resulted in the restriction of diploid populations to ancient glacial refugia and the colonization of the rest of Europe by polyploids. Mapping the current distribution of these diploid communities and comparing the genetic diversity within and between outbreeding diploid Asplenium taxa allows us to define the area, age and historical biogeography of these refugia and to assess their importance for present day genetic and species diversity in Europe."
