Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Cirsium dissectum","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Dactylorhiza spp.","Flowering plant","Summary Paper","AFLP +  Isozyme/Allozyme +  Nuclear microsatellite +  Nuclear sequences","European","Nordstrom, S Hedren, M","2009","Evolution, phylogeography and taxonomy of allopolyploid Dactylorhiza (Orchidaceae) and its implications for conservation ","Nordic Journal of Botany","32: 24-30","Summary paper","","","","This review is based on recent molecular studies of Dactylorhiza
 (Orchidaceae). Most of the studies have focused on the allotetraploid
 members of the genus in general and on D. majalis ssp. lapponica in
 particular. It was concluded that most of the allotetraploid taxa have
 derived from hybridizations between the parental lineages D. maculata
 s.l. and D. incarnata s.l., with D. maculata s.l. serving as the seed
 parent. Evidence of multiple origins was found both among northern
 European allotetraploids as well as among Greek allotetraploids.
 Introgression from both parental lineages and hybridizations between
 independently derived polyploid lineages was also detected. The three
 morphologically similar taxa D. majalis ssp. traunsteineri, ssp.
 lapponica and ssp. russowii should be treated as one and most of the
 Greek allotetraploids should be regarded as regional variants of the
 southeastern European D. majalis ssp. cordigera. The Balkans and the
 Alps most probably served as refugia for the genus during the last
 glaciations and at least two waves of immigration reached Scandinavia.
 Finally, we suggest that the conservation of allotetraploid
 Dactylorhiza should emphasize important geographic areas and habitats
 and that the allopolyploids should have the same conservation status as
 the diploids."
"Epipactis dunensis","Flowering plant","Conservation +  Hybridisation +  Taxonomic clarification","Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle sequences","","Hollingsworth, PM","2003","Taxonomic complexity, population genetics, and plant conservation in Scotland.","Botanical Journal of Scotland","55: 55-63.","Summary Paper","","","",""
"Epipactis helleborine","Flowering plant","Genetic diversity assessment +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme","Country: England-ScotlandCountry: Wales-ScotlandLocal: English vice-county areaLocal: Scottish vice-county area","Abbott, RJ, Harris, SA and Low, AJ","1997","Interspecific hybridization and the origin of new plant taxa in Scotland.","Botanical Journal of Scotland","49: 247-256.","Summary Paper","","","",""
"Epipactis helleborine","Flowering plant","Conservation +  Hybridisation +  Taxonomic clarification","Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle sequences","","Hollingsworth, PM","2003","Taxonomic complexity, population genetics, and plant conservation in Scotland.","Botanical Journal of Scotland","55: 55-63.","Summary Paper","","","",""
"Epipactis leptochila","Flowering plant","Genetic diversity assessment +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme","Country: England-ScotlandCountry: Wales-ScotlandLocal: English vice-county areaLocal: Scottish vice-county area","Abbott, RJ, Harris, SA and Low, AJ","1997","Interspecific hybridization and the origin of new plant taxa in Scotland.","Botanical Journal of Scotland","49: 247-256.","Summary Paper","","","",""
"Epipactis leptochila","Flowering plant","Conservation +  Hybridisation +  Taxonomic clarification","Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle sequences","","Hollingsworth, PM","2003","Taxonomic complexity, population genetics, and plant conservation in Scotland.","Botanical Journal of Scotland","55: 55-63.","Summary Paper","","","",""
"Epipactis phyllanthes","Flowering plant","Genetic diversity assessment +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme","Country: England-ScotlandCountry: Wales-ScotlandLocal: English vice-county areaLocal: Scottish vice-county area","Abbott, RJ, Harris, SA and Low, AJ","1997","Interspecific hybridization and the origin of new plant taxa in Scotland.","Botanical Journal of Scotland","49: 247-256.","Summary Paper","","","",""
"Epipactis youngiana","Flowering plant","Genetic diversity assessment +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme","Country: England-ScotlandCountry: Wales-ScotlandLocal: English vice-county areaLocal: Scottish vice-county area","Abbott, RJ, Harris, SA and Low, AJ","1997","Interspecific hybridization and the origin of new plant taxa in Scotland.","Botanical Journal of Scotland","49: 247-256.","Summary Paper","","","",""
"Epipactis youngiana","Flowering plant","Conservation +  Hybridisation +  Taxonomic clarification","Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle sequences","","Hollingsworth, PM","2003","Taxonomic complexity, population genetics, and plant conservation in Scotland.","Botanical Journal of Scotland","55: 55-63.","Summary Paper","","","",""
"Gastridium ventricosum","Flowering plant","Conservation +  Genetic diversity & landscape management +  Genetic diversity assessment","Isozyme/Allozyme","","Gray, AJ","1997","Genecology, the genetic system and the conservation genetics of uncommon British plants.","The role of genetics in conserving small populations.","56-64.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Hypericum undulatum","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Linnaea borealis","Flowering plant","Clonal diversity assessment +  Genetic diversity assessment +  Taxonomic clarification","AFLP +  Isozyme/Allozyme","","Marren P","1999","Britain's Rare Flowers.","","","Summary Paper","","T & A.D. Posyer Ltd.","London.",""
"Luronium natans","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Mentha requienii","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Mibora minima","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Najas marina","Flowering plant","Conservation +  Genetic diversity assessment","To confirm","","Triest, L","1991","Conservation of genetic diversity in water plants.","Isozymes in water plants","241-258.","Summary Paper","Triest L.","National Botanic Garden of Belgium.","Meise.",""
"Ononis reclinata","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Pinus sylvestris","Flowering plant","Phylogeography +  Summary Paper","","European","Toth, EG, Kobolkuti, ZA, Pedryc, A, Hohn, M","2017","Evolutionary history and phylogeography of Scots pine (Pinus sylvestris L.) in Europe based on molecular markers","Journal Of Forestry Research","28:637-651","Summary Paper","","","","In this review we summarized recent historical records and molecular studies on evolutionary history and phylogeography of Scots pine with focus on the European highly fragmented distribution area of the species. Fossilized pollen, plant micro- and macrofossil records provided evidences on the large-scale species' range shifts and demographic changes during the Quaternary. Populations of Scots pine were documented both in the glacial (incl. full glaciation) and interglacial periods. Recolonization of Europe after the glaciation originated from the (Sub) Mediterranean areas like the Balkan Peninsula but also from around the Eastern Alps and the surroundings of the Danube plain. Fennoscandia and northern European Baltic regions were most probably colonized from two main directions, from Western Europe and from the Russian Plain. Modern history of Scots pine was hardly affected by anthropogenic activities that started to strengthen in the Bronze and Iron Age. Along with the fossil records, molecular genetic tools were used to infer the origin and putative history including migration, differentiation and demography of the species. In this paper we compiled the major publications (30) of molecular genetic studies of the past 20 years derived from distinctly inherited organelle genomes (mitochondrial, chloroplast, nuclear) revealed by different marker systems (mtDNA-cox1, -nad1, -nad3, -nad7, ISSR, cpSSR, nSSR, B-SAP, SNP). It is important to consider that different phylogeographic patterns can be drawn by the analysis of different DNA marker types. Accordingly the use of more than one marker simultaneously outlines the most sophisticated phylogeographical pattern on the genetic lineages and can reveal high differentiation of the European distribution. Combined marker systems and markers derived from coding sequences have also been used to detect species' phylogeographic patterns, but these were rarely applied to Scots pine. Although new molecular techniques can provide higher resolution data for populations, the reviewed results can shape the direction of further studies."
"Populus nigra subsp. betulifolia","Flowering plant","Conservation +  Restoration","To confirm","","Tabbus,h P","1998","Genetic conservation of black poplar (Populus nigra L.).","Watsonia","22: 173-179.","Summary Paper","","","",""
"Primula scotica","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme +  RAPD","Country: Scotland","Ennos, RA, Cowie, N, Legg, C J and Sydes, C","1997","Which measures of genetic variation are relevant in plant conservation? A case study of Primula scotica.","The role of genetics in conserving small populations.","73-79.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Puccinellia maritima","Flowering plant","Conservation +  Genetic diversity & landscape management +  Genetic diversity assessment","Isozyme/Allozyme","","Gray, AJ","1997","Genecology, the genetic system and the conservation genetics of uncommon British plants.","The role of genetics in conserving small populations.","56-64.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Quercus petraea","Flowering plant","Conservation +  Phylogeography","Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle southern RFLP","","Ennos, RA, Worrell, R and Malcolm, DC","1998","The genetic management of native species in Scotland.","Forestry","71: 1-23.","Summary Paper","","","","Changes in forestry policy have increased the importance and extended the scope of genetic management of native species. Recent debate on genetic management prescriptions has been conducted with insufficient access to sound scientific information. This paper attempts to remedy this by: (1) presenting an overview of genetic variation and the processes which control it; (2) reviewing current measures; and (3) proposing a range of improvements ti, policy and practice. Genetic variation in Scottish tree and shrub populations is a neglected field of research, except for Scots pine (Pinus sylvestris). Some useful information can be provided by considering the history, ecology and biology of species together with genetic theory. Current patterns of variation reflect both the historical origins (as demonstrated by biochemical markers) and adaptation through natural selection (as indicated by provenance research). Existing populations probably still retain significant elements of adaptive variation; though this will vary according to species, with some showing close correlation between patterns of adaptive variation and environmental factors and others being more plastic. Indigenous genepools have been modified by fragmentation, changes in the forest environment, and introduction of foreign material, much of which is maladapted to upland sites. With some exceptions, the levels of genetic variation in existing indigenous populations comprise an adequate basis for restoring and expanding native woodland. The current undiscriminating use of continental provenances needs to be strongly discouraged; but equally restricting choice of seed sources to the most local provenances can also be inappropriate. Use of Scottish material from the same region and similar site type as the planting site needs to be encouraged. Current genetic management measures are rudimentary and fail to address adequately key issues of provenance choice, genetic conservation, seed supply or provision of selected or improved material, especially in broadleaves. Changes in legislation, regulation, seed supply, advice and research are proposed to address these shortcomings. The need for more provenance research is highlighted."
"Quercus robur","Flowering plant","Conservation +  Phylogeography","Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle southern RFLP","","Ennos, RA, Worrell, R and Malcolm, DC","1998","The genetic management of native species in Scotland.","Forestry","71: 1-23.","Summary Paper","","","","Changes in forestry policy have increased the importance and extended the scope of genetic management of native species. Recent debate on genetic management prescriptions has been conducted with insufficient access to sound scientific information. This paper attempts to remedy this by: (1) presenting an overview of genetic variation and the processes which control it; (2) reviewing current measures; and (3) proposing a range of improvements ti, policy and practice. Genetic variation in Scottish tree and shrub populations is a neglected field of research, except for Scots pine (Pinus sylvestris). Some useful information can be provided by considering the history, ecology and biology of species together with genetic theory. Current patterns of variation reflect both the historical origins (as demonstrated by biochemical markers) and adaptation through natural selection (as indicated by provenance research). Existing populations probably still retain significant elements of adaptive variation; though this will vary according to species, with some showing close correlation between patterns of adaptive variation and environmental factors and others being more plastic. Indigenous genepools have been modified by fragmentation, changes in the forest environment, and introduction of foreign material, much of which is maladapted to upland sites. With some exceptions, the levels of genetic variation in existing indigenous populations comprise an adequate basis for restoring and expanding native woodland. The current undiscriminating use of continental provenances needs to be strongly discouraged; but equally restricting choice of seed sources to the most local provenances can also be inappropriate. Use of Scottish material from the same region and similar site type as the planting site needs to be encouraged. Current genetic management measures are rudimentary and fail to address adequately key issues of provenance choice, genetic conservation, seed supply or provision of selected or improved material, especially in broadleaves. Changes in legislation, regulation, seed supply, advice and research are proposed to address these shortcomings. The need for more provenance research is highlighted."
"Rorippa amphibia","Flowering plant","Hybridisation +  Speciation/diversification","To confirm","European","Bleeker, W","2007","Interspecific hybridization in Rorippa (Brassicaceae): patterns and processes","Systematics and Biodiversity","5: 311-319","Summary paper","","","","The current knowledge on natural hybridization between European lowland Rorippo species is reviewed. Morphological, cytological and molecular markers provide substantial evidence that four Rorippa species (R. amphibia, R. austriaca, R. palustris and R. sylvestris) are involved in hybridization processes. The main factors promoting initial hybridization events between Rorippa species in Europe are (1) natural and anthropogenic habitat disturbance, (2) the invasion of non-native R. austriaca into western central Europe and (3) the self-incompatibility system of R. amphibia, R. austriaca and R. sylvestris coupled with clonal growth. Outcomes of hybridization between European Rorippa species show a broad range from incidental hybrids through the formation of hybrid swarms to the evolution of new hybrid taxa. Rorippo x armoracioides is certainly the most successful Rorippa hybrid. It results from hybridization between R. austriaca and R. sylvestris and is known from many localities in the native range of R. austriaca and in regions invaded by R. austriaca. Within this system hybrid zones of different age provide the rare opportunity to analyse different stages of hybrid formation and hybrid speciation in natural populations."
"Rorippa austriaca","Flowering plant","Hybridisation +  Speciation/diversification","To confirm","European","Bleeker, W","2007","Interspecific hybridization in Rorippa (Brassicaceae): patterns and processes","Systematics and Biodiversity","5: 311-319","Summary paper","","","","The current knowledge on natural hybridization between European lowland Rorippo species is reviewed. Morphological, cytological and molecular markers provide substantial evidence that four Rorippa species (R. amphibia, R. austriaca, R. palustris and R. sylvestris) are involved in hybridization processes. The main factors promoting initial hybridization events between Rorippa species in Europe are (1) natural and anthropogenic habitat disturbance, (2) the invasion of non-native R. austriaca into western central Europe and (3) the self-incompatibility system of R. amphibia, R. austriaca and R. sylvestris coupled with clonal growth. Outcomes of hybridization between European Rorippa species show a broad range from incidental hybrids through the formation of hybrid swarms to the evolution of new hybrid taxa. Rorippo x armoracioides is certainly the most successful Rorippa hybrid. It results from hybridization between R. austriaca and R. sylvestris and is known from many localities in the native range of R. austriaca and in regions invaded by R. austriaca. Within this system hybrid zones of different age provide the rare opportunity to analyse different stages of hybrid formation and hybrid speciation in natural populations."
"Rorippa palustris","Flowering plant","Hybridisation +  Speciation/diversification","To confirm","European","Bleeker, W","2007","Interspecific hybridization in Rorippa (Brassicaceae): patterns and processes","Systematics and Biodiversity","5: 311-319","Summary paper","","","","The current knowledge on natural hybridization between European lowland Rorippo species is reviewed. Morphological, cytological and molecular markers provide substantial evidence that four Rorippa species (R. amphibia, R. austriaca, R. palustris and R. sylvestris) are involved in hybridization processes. The main factors promoting initial hybridization events between Rorippa species in Europe are (1) natural and anthropogenic habitat disturbance, (2) the invasion of non-native R. austriaca into western central Europe and (3) the self-incompatibility system of R. amphibia, R. austriaca and R. sylvestris coupled with clonal growth. Outcomes of hybridization between European Rorippa species show a broad range from incidental hybrids through the formation of hybrid swarms to the evolution of new hybrid taxa. Rorippo x armoracioides is certainly the most successful Rorippa hybrid. It results from hybridization between R. austriaca and R. sylvestris and is known from many localities in the native range of R. austriaca and in regions invaded by R. austriaca. Within this system hybrid zones of different age provide the rare opportunity to analyse different stages of hybrid formation and hybrid speciation in natural populations."
"Rorippa sylvestris","Flowering plant","Hybridisation +  Speciation/diversification","To confirm","European","Bleeker, W","2007","Interspecific hybridization in Rorippa (Brassicaceae): patterns and processes","Systematics and Biodiversity","5: 311-319","Summary paper","","","","The current knowledge on natural hybridization between European lowland Rorippo species is reviewed. Morphological, cytological and molecular markers provide substantial evidence that four Rorippa species (R. amphibia, R. austriaca, R. palustris and R. sylvestris) are involved in hybridization processes. The main factors promoting initial hybridization events between Rorippa species in Europe are (1) natural and anthropogenic habitat disturbance, (2) the invasion of non-native R. austriaca into western central Europe and (3) the self-incompatibility system of R. amphibia, R. austriaca and R. sylvestris coupled with clonal growth. Outcomes of hybridization between European Rorippa species show a broad range from incidental hybrids through the formation of hybrid swarms to the evolution of new hybrid taxa. Rorippo x armoracioides is certainly the most successful Rorippa hybrid. It results from hybridization between R. austriaca and R. sylvestris and is known from many localities in the native range of R. austriaca and in regions invaded by R. austriaca. Within this system hybrid zones of different age provide the rare opportunity to analyse different stages of hybrid formation and hybrid speciation in natural populations."
"Ruppia maritima","Flowering plant","Conservation +  Genetic diversity assessment","To confirm","","Triest, L","1991","Conservation of genetic diversity in water plants.","Isozymes in water plants","241-258.","Summary Paper","Triest L.","National Botanic Garden of Belgium.","Meise.",""
"Senecio eboracensis","Flowering plant","Breeding system +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme +  ISSR +  Nuclear RFLP +  Nuclear sequences +  Organelle southern RFLP +  RAPD","","Abbott, RJ and Lowe, AJ","2004","Origins, establishment and evolution of new polyploid species: Senecio cambrensis and S. eboracensis in the British Isles.","Biological Journal of the Linnean Society","82: 467-474.","Summary Paper","","","",""
"Senecio squalidus","Flowering plant","Genetic diversity assessment +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme","Country: England-ScotlandCountry: Wales-ScotlandLocal: English vice-county areaLocal: Scottish vice-county area","Abbott, RJ, Harris, SA and Low, AJ","1997","Interspecific hybridization and the origin of new plant taxa in Scotland.","Botanical Journal of Scotland","49: 247-256.","Summary Paper","","","",""
"Senecio squalidus","Flowering plant","Breeding system +  Speciation/diversification","Isozyme/Allozyme","","Brennan, AC, Harris, SA and Hiscock, SJ","2003","The population genetics of sporophytic self-incompatibility in Senecio squalidus L. (Asteraceae): avoidance of mating constraints imposed by low S-allele number.","Philosophical Transactions: Biological Sciences","358: 1047-1050.","Summary Paper","","","","Senecio squalidus L. (Asteraceae) has been the subject of several ecological and population genetic studies due to its well-documented history of introduction, establishment and spread throughout Britain in the past 300 years. Our recent studies have focused on identifying and quantifying factors associated with the sporophytic self-incompatibility (SSI) system of S. squalidus that may have contributed to its success as a colonist. These findings are of general biological interest because they provide important insights into the short-term evolutionary dynamics of a plant mating system. The number of S-alleles in populations and their dominance interactions were investigated in eight wild British populations using cross-diallel studies. The numbers of S- alleles in British S. squalidus populations are typically low (average of 5.3 S-alleles) and the entire British population is estimated to possess no more than 7-11 S-alleles. Such low numbers of S-alleles are most probably a consequence of population bottlenecks associated with introduction and colonization. Potential evolutionary impacts on SSI caused by a paucity of S-alleles, such as restricted mate availability, are discussed, and we suggest that increased dominance interactions between S-alleles may be an important short-term means of increasing mate availability when S-allele numbers are low."
"Senecio squalidus","Flowering plant","Hybridisation +  Polyploidy +  Speciation/diversification","Organelle PCR RFLP +  To confirm","Country: Wales-ScotlandCountry: Widespread","Abbott, RJ and Lowe, AJ","1996","A review of hybridization and evolution in British Senecio.","Compositae: Systematics. Proceedings of the International Compositae Conference, Kew, 1994.","679-689.","Summary Paper","Hind D.J.N. and Beentje H.J.","Royal Botanic Gardens, Kew.","",""
"Senecio squalidus","Flowering plant","Breeding system +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme +  ISSR +  Nuclear RFLP +  Nuclear sequences +  Organelle southern RFLP +  RAPD","","Abbott, RJ and Lowe, AJ","2004","Origins, establishment and evolution of new polyploid species: Senecio cambrensis and S. eboracensis in the British Isles.","Biological Journal of the Linnean Society","82: 467-474.","Summary Paper","","","",""
"Senecio vulgaris","Flowering plant","Genetic diversity assessment +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme","Country: England-ScotlandCountry: Wales-ScotlandLocal: English vice-county areaLocal: Scottish vice-county area","Abbott, RJ, Harris, SA and Low, AJ","1997","Interspecific hybridization and the origin of new plant taxa in Scotland.","Botanical Journal of Scotland","49: 247-256.","Summary Paper","","","",""
"Senecio vulgaris var. hibernicus","Flowering plant","Hybridisation +  Polyploidy +  Speciation/diversification","Organelle PCR RFLP +  To confirm","Country: Wales-ScotlandCountry: Widespread","Abbott, RJ and Lowe, AJ","1996","A review of hybridization and evolution in British Senecio.","Compositae: Systematics. Proceedings of the International Compositae Conference, Kew, 1994.","679-689.","Summary Paper","Hind D.J.N. and Beentje H.J.","Royal Botanic Gardens, Kew.","",""
"Senecio vulgaris var. vulgaris","Flowering plant","Hybridisation +  Polyploidy +  Speciation/diversification","Organelle PCR RFLP +  To confirm","Country: Wales-ScotlandCountry: Widespread","Abbott, RJ and Lowe, AJ","1996","A review of hybridization and evolution in British Senecio.","Compositae: Systematics. Proceedings of the International Compositae Conference, Kew, 1994.","679-689.","Summary Paper","Hind D.J.N. and Beentje H.J.","Royal Botanic Gardens, Kew.","",""
"Senecio vulgaris var. vulgaris","Flowering plant","Breeding system +  Hybridisation +  Polyploidy +  Speciation/diversification","Isozyme/Allozyme +  ISSR +  Nuclear RFLP +  Nuclear sequences +  Organelle southern RFLP +  RAPD","","Abbott, RJ and Lowe, AJ","2004","Origins, establishment and evolution of new polyploid species: Senecio cambrensis and S. eboracensis in the British Isles.","Biological Journal of the Linnean Society","82: 467-474.","Summary Paper","","","",""
"Sorbus porrigentiformis","Flowering plant","Clonal diversity assessment +  Genetic diversity assessment +  Taxonomic clarification","AFLP +  Isozyme/Allozyme","","Marren P","1999","Britain's Rare Flowers.","","","Summary Paper","","T & A.D. Posyer Ltd.","London.",""
"Spartina alterniflora","Flowering plant","Hybridisation +  Polyploidy +  Speciation/diversification","IRAP +  Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle sequences +  RAPD +  To confirm","","Ainouche, ML, Baumel, A and Salmon, A","2004","Spartina anglica C.E. Hubbard: a natural model system for analysing early evolutionary changes that affect allopolyploid genomes.","Biological Journal of the Linnean Society","82: 475-484.","Summary Paper","","","",""
"Spartina anglica","Flowering plant","Hybridisation +  Polyploidy +  Speciation/diversification","IRAP +  Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle sequences +  RAPD +  To confirm","","Ainouche, ML, Baumel, A and Salmon, A","2004","Spartina anglica C.E. Hubbard: a natural model system for analysing early evolutionary changes that affect allopolyploid genomes.","Biological Journal of the Linnean Society","82: 475-484.","Summary Paper","","","",""
"Spartina maritima x alterniflora = S. x townsendii","Flowering plant","Hybridisation +  Polyploidy +  Speciation/diversification","IRAP +  Isozyme/Allozyme +  Organelle PCR RFLP +  Organelle sequences +  RAPD +  To confirm","","Ainouche, ML, Baumel, A and Salmon, A","2004","Spartina anglica C.E. Hubbard: a natural model system for analysing early evolutionary changes that affect allopolyploid genomes.","Biological Journal of the Linnean Society","82: 475-484.","Summary Paper","","","",""
"Stachys alpina","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Taraxacum brachyglossum","Flowering plant","Clonal diversity assessment +  Speciation/diversification","Isozyme/Allozyme","","Richards, AJ","1996","Genetic variability in obligate apomicts of the genus Taraxacum.","Folia Geobotanica et Phytotaxonomica Bohemoslavaca","31: 405-414.","Summary Paper","","","",""
