Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Ceratodon purpureus","Bryophyte","Gender Identification","","North American","Eppley, SM, Rosenstiel, TN, Chmielewski, MW, Woll, SC, Shaw, ZM, Shortlidge, EE","2018","Rapid population sex-ratio changes in the moss Ceratodon purpureus","American Journal Of Botany","105:1232-1238","Empirical paper","","","","PREMISE OF THE STUDY: Sex-ratio variation occurs widely in dioecious plants, but the mechanisms of population sex-ratio bias are poorly understood. In bryophytes, sex ratios are often female biased, and little information is available about how and when bias forms. METHODS: To test whether population sex-ratio variation can emerge during the gametophytic phase and is not purely a product of spore sex ratios, we created artificial populations of the moss Ceratodon purpureus, with male- and female-biased sex ratios, and placed half under a stress treatment. We hypothesized that male-majority populations would become female-biased and that stress would increase this transition. After 18 mo, when sporophytes were initially forming, we used sex-specific molecular markers to determine population sex ratios. KEY RESULTS: Female-majority populations did not differ significantly from their original bias, whereas male-majority populations became significantly more female biased. The plants had only just produced their first spores, so these sex-ratio changes occurred during the gametophytic generation, as a result of sex-specific growth or survival. Sporophytes occurred only in populations with female-biased final sex ratios, which suggests that females in male-majority populations may have invested energy in ramets rather than in sporophyte production. The stress treatment was mild and had no effect on sex ratio. CONCLUSIONS: Our results suggest that female bias can be generated during the gametophytic generation, before plants reach sexual maturity. These results, combined with those of previous work, suggest that both the gametophytic and the sporophytic stages drive population sex ratios in C. purpureus, thus indicating that multiple mechanisms operate to create biased population sex ratios."
"Cinclidium stygium","Bryophyte","Hybridisation +  Polyploidy","Isozyme/Allozyme","Euro-North American","Wyatt, RobertOdrzykoski, Ireneusz J., Stoneburner, Ann","2013","Isozyme evidence regarding the nature of polyploidy in the moss genus, Cinclidium (Mniaceae)","Bryologist","116:229-237","Empirical paper","","","","Genetic markers from horizontal starch gel electrophoresis show clearly that boreal-arctic C. stygium, a bisexual polyploid with n = 14, is closely related to C. arcticum and C. latifolium, unisexual haploids with n = 7. One locus of C. stygium shows fixed heterozygosity, suggesting an allopolyploid origin with these two haploids as progenitors. Two other loci, which are heterozygous in >90% of all plants screened, also support this view. It is also possible, however, that C. stygium is an autopolyploid, most likely of C. arcticum, in which meiosis has become regularized. Despite strong morphological differences between them, we detected only one fixed allelic difference between C. arcticum and C. latifolium. For C. subrotundum, another bisexual polyploid with n = 14, the evidence for allopolyploidy is very strong, with seven fixed heterozygous loci out of 17 scored. One of the lineages involved is similar to that of C. arcticum and C. latifolium, but the other is highly divergent from any known extant species of Cinclidium. It is quite possible, however, that additional, highly divergent species exist or, at least, once existed, as our screening of populations from Alaska turned up a new, highly genetically distinct species that experts have previously mistakenly referred to C. latifolium."
"Conocephalum conicum","Bryophyte","Taxonomic clarification","Organelle sequences","","Long DG, Möller M and Preston J","2001","Phylogenetic relationships of Asterella (Aytoniaceae, Marchantiopsida) inferred from chloroplast DNA sequences.","Bryologist","103: 625-644.","Empirical paper","","","",""
"Conocephalum conicum","Bryophyte","Conservation +  Genetic diversity assessment","To confirm","","Wyatt, R","1992","Conservation of rare and endangered bryophytes: input from population genetics.","Biological Conservation","59: 99-107.","Summary Paper","","","",""
"Conocephalum conicum","Bryophyte","Genetic diversity assessment +  Taxonomic clarification","To confirm","European","Odrzykoksi, IJ","1987","Genetic evidence for reproductive isolation between two European 'forms' of Conocephalum conicum.","Symp. Biol. Hungarica.","35: 577-587.","Empirical paper","","","",""
"Conocephalum conicum","Bryophyte","Taxonomic clarification","To confirm","European","Odrzykoksi IJ, Bobowicz MA and Krzakowa M","1981","Variation in Conocephalum conicum - the existence of two genetically different forms in Europe.","New Prospectives in bryotaxonomy and bryogeography","519-542.","Empirical paper","Szweykowski J.","Adam Mickiewicz University.","Pozan, Poland.",""
"Conocephalum conicum","Bryophyte","Phylogeography +  Taxonomic clarification","To confirm","","Szweykowski J, Odrzykoksi IJ and Zielinski R","1981","Further data on the geographic distribution of two genetically different forms of the liverwort Conocephalum conicum (L.) Dum.: the sympatric and allopatric regions.","Acad. Polon. Sci. ser. Sci. Biol.","28: 437-449.","Empirical paper","","","",""
"Conocephalum conicum","Bryophyte","Genetic diversity assessment","To confirm","","Yamazaki T","1984","The amount of polymorphism and genetic differentiation in natural populations of the haploid liverwort Conocephalum conicum.","Jpn. J. Genet.","9: 133-139.","Empirical paper","","","",""
"Conocephalum conicum","Bryophyte","Speciation/diversification +  Taxonomic clarification","Isozyme/Allozyme","","Wyatt, R, Stoneburner, A and Odrzykoski, IJ","1989","Bryophyte isozymes: systematic and evolutionary implications.","Isozymes in Plant Biology.","221-240.","Summary Paper","Soltis D.E. and Soltis P.S.","Dioscorides Press.","Portland, Oregon.",""
"Coscinodon cribrosus","Bryophyte","DNA barcoding","Organelle sequences","Asian","Liu Y, Cao T, Ge X-J","2011","A case study of DNA barcoding in Chinese Grimmiaceae and a moss recorded in China for the first time","Taxon","60: 185-193","Empirical paper","","","","Mosses are among the basal lineages of embryophytes and one of the three bryophyte lineages. In the present study, four regions of chloroplast DNA (rbcL-a, rps4, trnH-psbA, trnL intron) were used to investigate the applicability of DNA barcoding to four moss genera of Grimmiaceae (Racomitrium, Coscinodon, Grimmia, Schist idiom) in China. The species resolution of the four loci examined was 65% (trnH-psbA), 59% (rps4), 53% (rbcL-a) and 29% (trnL intron). However, rps4 (59%) provided a higher value of monophyletic species with bootstrap support >50% than trnH-psbA (47%), rbcL-a (35%), and trial, intron (18%). No multi-locus combinations could significantly increase the species resolution but they increased the percentages of monophyletic species with bootstrap support >50% compared to the best single locus. Species of the genus Racomitrium could be resolved completely by rps4 and mostly (>80%) by rbcL-a or trnH-psbA. The species of Coscinodon (i.e., C. cribrosus) showed distinct plastid region sequences in rbcL-a, rps4, trnH-psbA, and toil., intron. Inter-specific sequence sharing or high intra-specific variability led to large amounts of barcoding failure in Grimmia, and Schistidium. Furthermore, using a combination of morphological characteristics and DNA barcoding for identification, a moss species, Racomitrium elongation, was recorded for the first time in China. The results suggest that trnH-psbA is potentially the best barcode in mosses and rps4 a good supplementary locus for future use, as standard plant barcodes (rbcL + matK) do not perform well in this taxonomic group."
"Cratoneuron filicinum","Bryophyte","Genetic diversity assessment","Nuclear sequences +  Organelle sequences","European","Hedenas, L","2012","Molecular differentiation within European Cratoneuron filicinum, and differences from Asiatic and American populations","Plant Systematics and Evolution","298:937-945","Empirical paper","","","","Variation in ITS and the two chloroplast markers rpl16 and tRNA-Gly was studied to explore phylogeographic patterns in, especially, western Eurasiatic Cratoneuron filicinum (Hedw.) Spruce. ITS and chloroplast data yield incongruent results and are therefore analysed separately; recombination is indicated for ITS. For both data sets one group of haplotypes is widespread in western Eurasia. Another is found in the Mediterranean region and occurs in southern Scandinavia (ITS) or large portions of northern Europe, but is missing in central Europe. It is suggested that the northern populations of the latter haplotypes have dispersed from eastern or south-eastern glacial refugia. At the continental scale, south-east Asiatic populations differ from those in western Eurasia, with an apparent meeting zone west of the Himalayas. American haplotypes are most similar to some European ones according to ITS, but to south-east Asiatic ones according to chloroplast data."
"Dicranum bonjeanii","Bryophyte","DNA barcoding","","Arctic","Lang, Annick S., Kruijer, J. D., Stech, Michael","2014","DNA barcoding of Arctic bryophytes: an example from the moss genus Dicranum (Dicranaceae, Bryophyta)","Polar Biology","37:1157-1169","Empirical paper","","","","The identification of bryophytes from the Arctic is often difficult due to deviating morphologies under the extreme environmental conditions. This is especially true for species-rich and taxonomically complex genera, such as the moss genus Dicranum. DNA barcoding is expected to improve the identification of Arctic bryophyte species, but the optimal combination of barcoding markers for mosses in general, especially for delimiting closely related, is still under discussion. In this paper, we test the discrimination capacity of six potential barcode markers (rps4-trnT (UGU), trnL (UAA)-trnF (GAA), trnH (GUG)-psbA, rps19-rpl2, rpoB, and nrITS1-5.8S-ITS2) based on phylogenetic reconstructions of 30 Dicranum samples from Spitsbergen (Svalbard, Norway), and reference samples from all ten Dicranum species confirmed for the Svalbard archipelago and six additional Arctic Dicranum species. All 16 species (possibly except D. fuscescens) were distinguishable with bootstrap support > 70 % based on the combined sequence data, but none of the individual markers could delimit all included species. All Svalbard collections could be readily assigned to five species, D. acutifolium, D. elongatum, D. laevidens, D. majus, and D. spadiceum, respectively. It is concluded that DNA barcoding improves species identification of Arctic Dicranum plants, but that a combination of several markers is necessary in order to obtain reliable identification results, with the single loci ITS1, trnL-F and rps4-trnT being the most promising regions."
"Dicranum elongatum","Bryophyte","DNA barcoding","","Arctic","Lang, Annick S., Kruijer, J. D., Stech, Michael","2014","DNA barcoding of Arctic bryophytes: an example from the moss genus Dicranum (Dicranaceae, Bryophyta)","Polar Biology","37:1157-1169","Empirical paper","","","","The identification of bryophytes from the Arctic is often difficult due to deviating morphologies under the extreme environmental conditions. This is especially true for species-rich and taxonomically complex genera, such as the moss genus Dicranum. DNA barcoding is expected to improve the identification of Arctic bryophyte species, but the optimal combination of barcoding markers for mosses in general, especially for delimiting closely related, is still under discussion. In this paper, we test the discrimination capacity of six potential barcode markers (rps4-trnT (UGU), trnL (UAA)-trnF (GAA), trnH (GUG)-psbA, rps19-rpl2, rpoB, and nrITS1-5.8S-ITS2) based on phylogenetic reconstructions of 30 Dicranum samples from Spitsbergen (Svalbard, Norway), and reference samples from all ten Dicranum species confirmed for the Svalbard archipelago and six additional Arctic Dicranum species. All 16 species (possibly except D. fuscescens) were distinguishable with bootstrap support > 70 % based on the combined sequence data, but none of the individual markers could delimit all included species. All Svalbard collections could be readily assigned to five species, D. acutifolium, D. elongatum, D. laevidens, D. majus, and D. spadiceum, respectively. It is concluded that DNA barcoding improves species identification of Arctic Dicranum plants, but that a combination of several markers is necessary in order to obtain reliable identification results, with the single loci ITS1, trnL-F and rps4-trnT being the most promising regions."
"Dicranum fuscescens","Bryophyte","DNA barcoding","","Arctic","Lang, Annick S., Kruijer, J. D., Stech, Michael","2014","DNA barcoding of Arctic bryophytes: an example from the moss genus Dicranum (Dicranaceae, Bryophyta)","Polar Biology","37:1157-1169","Empirical paper","","","","The identification of bryophytes from the Arctic is often difficult due to deviating morphologies under the extreme environmental conditions. This is especially true for species-rich and taxonomically complex genera, such as the moss genus Dicranum. DNA barcoding is expected to improve the identification of Arctic bryophyte species, but the optimal combination of barcoding markers for mosses in general, especially for delimiting closely related, is still under discussion. In this paper, we test the discrimination capacity of six potential barcode markers (rps4-trnT (UGU), trnL (UAA)-trnF (GAA), trnH (GUG)-psbA, rps19-rpl2, rpoB, and nrITS1-5.8S-ITS2) based on phylogenetic reconstructions of 30 Dicranum samples from Spitsbergen (Svalbard, Norway), and reference samples from all ten Dicranum species confirmed for the Svalbard archipelago and six additional Arctic Dicranum species. All 16 species (possibly except D. fuscescens) were distinguishable with bootstrap support > 70 % based on the combined sequence data, but none of the individual markers could delimit all included species. All Svalbard collections could be readily assigned to five species, D. acutifolium, D. elongatum, D. laevidens, D. majus, and D. spadiceum, respectively. It is concluded that DNA barcoding improves species identification of Arctic Dicranum plants, but that a combination of several markers is necessary in order to obtain reliable identification results, with the single loci ITS1, trnL-F and rps4-trnT being the most promising regions."
"Dicranum leioneuron","Bryophyte","DNA barcoding","","Arctic","Lang, Annick S., Kruijer, J. D., Stech, Michael","2014","DNA barcoding of Arctic bryophytes: an example from the moss genus Dicranum (Dicranaceae, Bryophyta)","Polar Biology","37:1157-1169","Empirical paper","","","","The identification of bryophytes from the Arctic is often difficult due to deviating morphologies under the extreme environmental conditions. This is especially true for species-rich and taxonomically complex genera, such as the moss genus Dicranum. DNA barcoding is expected to improve the identification of Arctic bryophyte species, but the optimal combination of barcoding markers for mosses in general, especially for delimiting closely related, is still under discussion. In this paper, we test the discrimination capacity of six potential barcode markers (rps4-trnT (UGU), trnL (UAA)-trnF (GAA), trnH (GUG)-psbA, rps19-rpl2, rpoB, and nrITS1-5.8S-ITS2) based on phylogenetic reconstructions of 30 Dicranum samples from Spitsbergen (Svalbard, Norway), and reference samples from all ten Dicranum species confirmed for the Svalbard archipelago and six additional Arctic Dicranum species. All 16 species (possibly except D. fuscescens) were distinguishable with bootstrap support > 70 % based on the combined sequence data, but none of the individual markers could delimit all included species. All Svalbard collections could be readily assigned to five species, D. acutifolium, D. elongatum, D. laevidens, D. majus, and D. spadiceum, respectively. It is concluded that DNA barcoding improves species identification of Arctic Dicranum plants, but that a combination of several markers is necessary in order to obtain reliable identification results, with the single loci ITS1, trnL-F and rps4-trnT being the most promising regions."
