Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Arabis alpina","Flowering plant","Breeding system +  Genetic diversity assessment +  Phylogeography","Isozyme/Allozyme +  Organelle sequences","European","Ansell, SW Grundmann, M Russell, SJ Schneider, H Vogel, JC","2008","Genetic discontinuity, breeding-system change and population history of Arabis alpina in the Italian Peninsula and adjacent Alps","Molecular Ecology","17: 2245-2257","Empirical Paper","","","","Arabis alpina is a widespread plant of European arctic and alpine environments and belongs to the same family as Arabidopsis thaliana. It grows in all major mountain ranges within the Italian glacial refugia and populations were sampled over a 1300 km transect from Sicily to the Alps. Diversity was studied in nuclear and chloroplast genome markers, combining phylogeographical and population genetic approaches. Alpine populations had significantly lower levels of nuclear genetic variation compared to those in the Italian Peninsula, and this is associated with a pronounced change in within-population inbreeding. Alpine populations were significantly inbred (F-IS = 0.553), possibly reflecting a change to the self-incompatibility system during leading edge colonization. The Italian Peninsula populations were approaching Hardy-Weinberg equilibrium (outbreeding, F-IS = 0.076) and genetic variation was highly structured, consistent with independent local 'refugia within refugia' and the fragmentation of an established population by Quaternary climate oscillations. There is very little evidence of genetic exchange between the Alps and the Italian Peninsula main distribution ranges. The Alps functioned as a glacial sink for A. alpina, while the Italian Peninsula remains a distinct and separate long-term refugium. Comparative analysis indicated that inbreeding populations probably recolonized the Alps twice: (i) during a recent postglacial colonization of the western Alps from a Maritime Alps refugium; and (ii) separately into the central Alps from a source outside the sampling range. The pronounced geographical structure and inbreeding discontinuities are significant for the future development of A. alpina as a model species."
"Arabis alpina","Flowering Plant","Landscape genetics","AFLP","European","Manel S, Poncet BN, Legendre P, Gugerli F, Holderegger R.","2010","Common factors drive adaptive genetic variation at different spatial scales in Arabis alpina","Molecular Ecology","19: 3824-3835","Empirical paper","","","","A major challenges facing landscape geneticists studying adaptive variation is to include all the environmental variables that might be correlated with allele frequencies across the genome. One way of identifying loci that are possibly under selection is to see which ones are associated with environmental gradient or heterogeneity. Since it is difficult to measure all environmental variables, one may take advantage of the spatial nature of environmental filters to incorporate the effect of unaccounted environmental variables in the analysis. Assuming that the spatial signature of these variables is broad-scaled, broad-scale Moran's eigenvector maps (MEM) can be included as explanatory variables in the analysis as proxies for unmeasured environmental variables. We applied this approach to two data sets of the alpine plant Arabis alpina. The first consisted of 140 AFLP loci sampled at 130 sites across the European Alps (large scale). The second one consisted of 712 AFLP loci sampled at 93 sites (regional scale) in three mountain massifs (local scale) of the French Alps. For each scale, we regressed the frequencies of each AFLP allele on a set of eco-climatic and MEM variables as predictors. Twelve (large scale) and 11% (regional scale) of all loci were detected as significantly correlated to at least one of the predictors (R-adj(2) > 0.5), and, except for one massif, 17% at the local scale. After accounting for spatial effects, temperature and precipitation were the two major determinants of allele distributions. Our study shows how MEM models can account for unmeasured environmental variation in landscape genetics models."
"Arabis alpina","Flowering Plant","Genecology","AFLP","European","Poncet BN, Herrmann D, Gugerli F, Taberlet P, Holderegger R, Gielly L, Rioux D, Thuiller W, Aubert S, Manel S","2010","Tracking genes of ecological relevance using a genome scan in two independent regional population samples of Arabis alpina","Molecular Ecology","19: 2896-2907","Empirical paper","","","","Understanding the genetic basis of adaptation in response to environmental variation is fundamental as adaptation plays a key role in the extension of ecological niches to marginal habitats and in ecological speciation. Based on the assumption that some genomic markers are correlated to environmental variables, we aimed to detect loci of ecological relevance in the alpine plant Arabis alpina L. sampled in two regions, the French (99 locations) and the Swiss (109 locations) Alps. We used an unusually large genome scan [825 amplified fragment length polymorphism loci (AFLPs)] and four environmental variables related to temperature, precipitation and topography. We detected linkage disequilibrium among only 3.5% of the considered AFLP loci. A population structure analysis identified no admixture in the study regions, and the French and Swiss Alps were differentiated and therefore could be considered as two independent regions. We applied generalized estimating equations (GEE) to detect ecologically relevant loci separately in the French and Swiss Alps. We identified 78 loci of ecological relevance (9%), which were mainly related to mean annual minimum temperature. Only four of these loci were common across the French and Swiss Alps. Finally, we discuss that the genomic characterization of these ecologically relevant loci, as identified in this study, opens up new perspectives for studying functional ecology in A. alpina, its relatives and other alpine plant species."
"Arabis alpina","Flowering Plant","Genetic diversity assessment +  Phylogeography","Organelle sequences","Northern Hemisphere","Ansell SW, Stenoien HK, Grundmann M, Russell SJ, Koch MA, Schneider H, Vogel JC","2011","The importance of Anatolian mountains as the cradle of global diversity in Arabis alpina, a key arctic-alpine species","Annals of Botany","108: 241-252","Empirical paper","","","","Background and Aims Anatolia is a biologically diverse, but phylogeographically under-explored region. It is described as either a centre of origin and long-term Pleistocene refugium, or as a centre for genetic amalgamation, fed from distinct neighbouring refugia. These contrasting hypotheses are tested through a global phylogeographic analysis of the arctic-alpine herb, Arabis alpina. Methods Herbarium and field collections were used to sample comprehensively the entire global range, with special focus on Anatolia and Levant. Sequence variation in the chloroplast DNA trnL-trnF region was examined in 483 accessions. A haplotype genealogy was constructed and phylogeographic methods, demographic analysis and divergence time estimations were used to identify the centres of diversity and to infer colonization history. Key Results Fifty-seven haplotypes were recovered, belonging to three haplogroups with non-overlapping distributions in (1) North America/Europe/northern Africa, (2) the Caucuses/Iranian Plateau/Arabian Peninsula and (3) Ethiopia-eastern Africa. All haplogroups occur within Anatolia, and all intermediate haplotypes linking the three haplogroups are endemic to central Anatolia and Levant, where haplotypic and nucleotide diversities exceeded all other regions. The local pattern of haplotype distribution strongly resembles the global pattern, and the haplotypes began to diverge approx. 2.7 Mya, coinciding with the climate cooling of the early Middle Pleistocene. Conclusions The phylogeographic structure of Arabis alpina is consistent with Anatolia being the cradle of origin for global genetic diversification. The highly structured landscape in combination with the Pleistocene climate fluctuations has created a network of mountain refugia and the accumulation of spatially arranged genotypes. This local Pleistocene population history has subsequently left a genetic imprint at the global scale, through four range expansions from the Anatolian diversity centre into Europe, the Near East, Arabia and Africa. Hence this study also illustrates the importance of sampling and scaling effects when translating global from local diversity patterns during phylogeographic analyses."
"Arabis alpina","Flowering Plant","Marker development","Nuclear microsatellite","European","Buehler D, Graf R, Holderegger R, Gugerli F","2011","USING THE 454 PYROSEQUENCING-BASED TECHNIQUE IN THE DEVELOPMENT OF NUCLEAR MICROSATELLITE LOCI IN THE ALPINE PLANT ARABIS ALPINA (BRASSICACEAE)","American Journal of Botany ","98: E103-E105","Empirical paper","","","","Premise of the study: Polymorphic microsatellite markers were developed for the inbred alpine perennial plant Arabis alpina to infer life-history parameters and measure patterns of contemporary gene flow within populations. . Methods and Results : Using the 454 pyrosequencing technique, 19 microsatellite primer sets were developed for A. alpina. The primer sets were tested on 60 individuals sampled from three sub-populations in the Swiss Alps. The primers amplified di- and trinucleotide repeats with two to five alleles per locus. . Conclusions: Previous attempts to isolate microsatellite loci in A. alpina using enrichment libraries and cross-amplification were difficult and produced an insufficient number of polymorphic microsatellite loci. In contrast, next-generation sequencing technology was successful in identifying microsatellite repeats in A. alpina. These newly developed microsatellite primers will be useful to further develop A. alpina into a model species for eco-genomic studies."
"Arabis alpina","Flowering Plant","Breeding system","Isozyme/Allozyme","European","Tedder A, Ansell SW, Lao X, Vogel JC, Mable BK","2011","Sporophytic self-incompatibility genes and mating system variation in Arabis alpina","American Journal of Botany ","108: 699-713","Empirical paper","","","","Background and Aims Sporophytic self-incompatibility (SI) prevents inbreeding in many members of the Brassicaceae, and has been well documented in a variety of high-profile species. Arabis alpina is currently being developed as a model system for studying the ecological genetics of arctic-alpine environments, and is the focus of numerous studies on population structure and alpine phylogeography. Although it is highly inbreeding throughout most of its range, populations in central Italy have been identified that show inbreeding coefficients (F(IS)) more typical of self-incompatible relatives. The purpose of this study was to establish whether this variation is due to a functioning SI system. Methods Outcrossing rate estimates were calculated based on 16 allozyme loci and self-compatibility assessed based on controlled pollinations for six Italian populations that have previously been shown to vary in FIS values. Putative SRK alleles (the gene controlling the female component of SI in other Brassicaceae) amplified from A. alpina were compared with those published for other species. Linkage of putative SRK alleles and SI phenotypes was assessed using a diallel cross. Key Results Functional avoidance of inbreeding is demonstrated in three populations of A. alpina, corresponding with previous FIS values. The presence is described of 15 putative SRK-like alleles, which show high sequence identity to known alleles from Brassica and Arabidopsis and the high levels of synonymous and non-synonymous variation typical of genes under balancing selection. Also, orthologues of two other members of the S-receptor kinase gene family, Aly8 (ARK3) and Aly9 (AtS1) are identified. Further to this, co-segregation between some of the putative S-alleles and compatibility phenotypes was demonstrated using a full-sibling cross design. Conclusions The results strongly suggest that, as with other species in the Brassicaceae, A. alpina has a sporophytic SI system but shows variation in the strength of SI within and between populations."
"Arabis alpina","Flowering Plant","Breeding system +  Gene flow","Nuclear microsatellite","European","Buehler, D., R. Graf, R. Holderegger, and F. Gugerli","2012","Contemporary gene flow and mating system of Arabis alpina in a Central European alpine landscape","Annals of Botany","109:1359-1367","Empirical paper","","","","Gene flow is important in counteracting the divergence of populations but also in spreading genes among populations. However, contemporary gene flow is not well understood across alpine landscapes. The aim of this study was to estimate contemporary gene flow through pollen and to examine the realized mating system in the alpine perennial plant, Arabis alpina (Brassicaceae). An entire sub-alpine to alpine landscape of 2 km(2) was exhaustively sampled in the Swiss Alps. Eighteen nuclear microsatellite loci were used to genotype 595 individuals and 499 offspring from 49 maternal plants. Contemporary gene flow by pollen was estimated from paternity analysis, matching the genotypes of maternal plants and offspring to the pool of likely father plants. Realized mating patterns and genetic structure were also estimated. Paternity analysis revealed several long-distance gene flow events (1 km). However, most outcrossing pollen was dispersed close to the mother plants, and 84 of all offspring were selfed. Individuals that were spatially close were more related than by chance and were also more likely to be connected by pollen dispersal. In the alpine landscape studied, genetic structure occurred on small spatial scales as expected for alpine plants. However, gene flow also covered large distances. This makes it plausible for alpine plants to spread beneficial alleles at least via pollen across landscapes at a short time scale. Thus, gene flow potentially facilitates rapid adaptation in A. alpina likely to be required under ongoing climate change."
"Arabis alpina","Flowering Plant","Marker development","Organelle microsatellite","Worldwide","Awasthi, P., I. Ahmad, S. G. Gandhi, and Y. S. Bedi","2012","DEVELOPMENT OF CHLOROPLAST MICROSATELLITE MARKERS FOR PHYLOGENETIC ANALYSIS IN BRASSICACEAE","Acta Biologica Hungarica","63:463-473","Empirical paper","","","","By employing in silico tools, we devised new chloroplast microsatellite primers for inferring phylogenetic relationships within Brassicaceae. Microsatellite repeats were scanned in 12 chloroplast genomes of Brassicaceae, regions flanking these repeats were aligned and 19 universal primers were designed. Fifteen of these primer pairs are predicted to yield polymorphic amplicons, that are more or less evenly distributed throughout the chloroplast genomes. Finally, using PCR, we have validated three primer pairs on a limited 'test set' of plants, different from those used in computational analysis."
"Arabis alpina","Flowering plant","Breeding system","","European","Tedder, Andrew, Carleial, Samuel, Golebiewska, Martyna, Kappel, Christian, Shimizu, Kentaro K., Stift, Marc","2015","Evolution of the Selfing Syndrome in Arabis alpina (Brassicaceae)","Plos One","10","Empirical paper","","","","Introduction The transition from cross-fertilisation (outcrossing) to self-fertilisation (selfing) frequently coincides with changes towards a floral morphology that optimises self-pollination, the selfing syndrome. Population genetic studies have reported the existence of both outcrossing and selfing populations in Arabis alpina (Brassicaceae), which is an emerging model species for studying the molecular basis of perenniality and local adaptation. It is unknown whether its selfing populations have evolved a selfing syndrome. Methods Using macro-photography, microscopy and automated cell counting, we compared floral syndromes (size, herkogamy, pollen and ovule numbers) between three outcrossing populations from the Apuan Alps and three selfing populations from the Western and Central Alps (Maritime Alps and Dolomites). In addition, we genotyped the plants for 12 microsatellite loci to confirm previous measures of diversity and inbreeding coefficients based on allozymes, and performed Bayesian clustering. Results and Discussion Plants from the three selfing populations had markedly smaller flowers, less herkogamy and lower pollen production than plants from the three outcrossing populations, whereas pistil length and ovule number have remained constant. Compared to allozymes, microsatellite variation was higher, but revealed similar patterns of low diversity and high Fis in selfing populations. Bayesian clustering revealed two clusters. The first cluster contained the three outcrossing populations from the Apuan Alps, the second contained the three selfing populations from the Maritime Alps and Dolomites. Conclusion We conclude that in comparison to three outcrossing populations, three populations with high selfing rates are characterised by a flower morphology that is closer to the selfing syndrome. The presence of outcrossing and selfing floral syndromes within a single species will facilitate unravelling the genetic basis of the selfing syndrome, and addressing which selective forces drive its evolution."
"Arabis alpina","Flowering plant","Adaptation","","European","Torang, Per, Wunder, Joerg, Obeso, Jose Ramon, Herzog, Michel, Coupland, George, Agren, Jon","2015","Large-scale adaptive differentiation in the alpine perennial herb Arabis alpina","New Phytologist","206:459-470","Empirical paper","","","","Information about the incidence and magnitude of local adaptation can help to predict the response of natural populations to a changing environment, and should be of particular interest in arctic and alpine environments where the effects of climate change are expected to be severe. To quantify adaptive differentiation in the arctic-alpine perennial herb Arabis alpina, we conducted reciprocal transplant experiments for 3yr between Spanish and Scandinavian populations. At the sites of one Spanish and one Scandinavian population, we planted seedlings representing two Spanish and four Scandinavian populations, and recorded survival, flowering propensity and fecundity. The experiment was replicated in two subsequent years. The results demonstrate strong adaptive differentiation between A.alpina populations from the two regions. At the field site in Spain, survival and fruit production of Spanish populations were higher than those of Scandinavian populations, while the opposite was true at the site in Scandinavia, and these differences were consistent across years. By comparison, fitness varied little among populations from the same region. The results suggest that the magnitude and geographical scale of local adaptation need to be considered in predictions of the effects of global change on the dynamics of arctic and alpine plant populations."
"Arabis alpina","Flowering plant","Breeding system","","European","Laenen, B, Tedder, A, Nowak, MD, Torang, P, Wunder, J, Wotzel, S, Steige, KA, Kourmpetis, Y, Odong, T, Drouzas, AD, Bink, MCAM, Agren, J, Coupland, G, Slotte, T","2018","Demography and mating system shape the genome-wide impact of purifying selection in Arabis alpina","Proceedings Of The National Academy Of Sciences Of The United States Of, America","115:816-821","Empirical paper","","","","Plant mating systems have profound effects on levels and structuring of genetic variation and can affect the impact of natural selection. Although theory predicts that intermediate outcrossing rates may allow plants to prevent accumulation of deleterious alleles, few studies have empirically tested this prediction using genomic data. Here, we study the effect of mating system on purifying selection by conducting population-genomic analyses on whole-genome resequencing data from 38 European individuals of the arctic-alpine crucifer Arabis alpina. We find that outcrossing and mixed-mating populations maintain genetic diversity at similar levels, whereas highly self-fertilizing Scandinavian A. alpina show a strong reduction in genetic diversity, most likely as a result of a postglacial colonization bottleneck. We further find evidence for accumulation of genetic load in highly self-fertilizing populations, whereas the genome-wide impact of purifying selection does not differ greatly between mixed-mating and outcrossing populations. Our results demonstrate that intermediate levels of outcrossing may allow efficient selection against harmful alleles, whereas demographic effects can be important for relaxed purifying selection in highly selfing populations. Thus, mating system and demography shape the impact of purifying selection on genomic variation in A. alpina. These results are important for an improved understanding of the evolutionary consequences of mating system variation and the maintenance of mixed-mating strategies."
"Arabis alpina","Flowering plant","Adaptation","","European","de Villemereuil, P, Mouterde, M, Gaggiotti, OE, Till-Bottraud, I","2018","Patterns of phenotypic plasticity and local adaptation in the wide elevation range of the alpine plant Arabis alpina","Journal Of Ecology","106:1952-1971","Empirical paper","","","","1. Local adaptation and phenotypic plasticity are two important characteristics of alpine plants to overcome the threats caused by global changes. Among alpine species, Arabis alpina is characterised by an unusually wide altitudinal amplitude, ranging from 800 to 3,100 m of elevation in the French Alps. Two non-exclusive hypotheses can explain the presence of A. alpina across this broad ecological gradient: adaptive phenotypic plasticity or local adaptation, making this species especially useful to better understand these phenomena in alpine plant species. 2. We carried out common garden experiments at two different elevations with maternal progenies from six sites that differed in altitude. We showed that (1) key phenotypic traits (morphotype, total fruit length, growth, height) display significant signs of local adaptation, (2) most traits studied are characterised by a high phenotypic plasticity between the two experimental gardens and (3) the two populations from the highest elevations lacked morphological plasticity compared to the other populations. 3. By combining two genome scan approaches (detection of selection and association methods), we isolated a candidate gene (Sucrose-Phosphate Synthase 1). This gene was associated with height and local average temperature in our studied populations, consistent with previous studies on this gene in Arabidopsis thaliana. 4. Synthesis. Given the nature of the traits involved in the detected pattern of local adaptation and the relative lack of plasticity of the two most extreme populations, our findings are consistent with a scenario of a locally adaptive stress response syndrome in high elevation populations. Due to a reduced phenotypic plasticity, an overall low intra-population genetic diversity of the adaptive traits and weak gene flow, populations of high altitude might have difficulties to cope with, e.g. a rise of temperature."
"Arabis alpina","Flowering plant","Marker development","","Northern Hemisphere","Xu, YQ, Bi, CW","2018","The complete mitochondrial genome sequence of an alpine plant Arabis alpina","Mitochondrial Dna Part B-resources","3:725-727","Empirical paper","","","","Arabis alpina (A. alpina) is an arctic-alpine flowering plant in the family Brassicaceae, naturally growing in the tundra of arctic regions and in mountains at southern latitudes. In this study, we first report the assembly of the complete A. alpina mitochondrial (mt) genome using the next-generation sequencing technologies. The A. alpina mt circular genome is 323,159bp in length and contains 33 protein-coding genes, 18 tRNA genes and 3 rRNA genes. To analyze the phylogenic and evolutional relationship of A. alpina, a neighbour-joining phylogenetic tree was reconstructed based on the mt genome of A. alpina and other 27 plants. The complete A. alpina mt genome will be helpful in population studies or investigations of mt functions of these alpine plant species."
